Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	1.899858	2.476971	0.003862	0.159001	0.002237	9.010465
3.000000	2.898378	2.334364	0.003915	0.173238	0.002566	7.024421
4.000000	3.903028	2.260774	0.003785	0.164124	0.002222	6.292709
5.000000	4.920913	2.207026	0.003507	0.157825	0.002276	3.753259
6.000000	5.925731	2.176416	0.003760	0.149218	0.002426	4.427978
7.000000	6.940675	2.151851	0.003508	0.143766	0.002689	4.195615
8.000000	7.946039	2.120734	0.003370	0.137756	0.002303	3.310526
9.000000	8.962337	2.102398	0.003379	0.135118	0.002572	3.579967
10.000000	9.982364	2.087870	0.003190	0.124840	0.002280	3.679367
11.000000	10.979055	2.064262	0.002952	0.118235	0.001951	2.974821
12.000000	12.003292	2.045378	0.003006	0.117051	0.002087	4.075195
13.000000	12.989746	2.030328	0.003111	0.121167	0.002492	3.156512
14.000000	13.995446	2.021382	0.003025	0.106187	0.002069	5.247153
15.000000	15.004121	2.001695	0.002868	0.111013	0.002130	3.357590
16.000000	16.010513	1.987396	0.002792	0.106516	0.001924	4.610603
17.000000	16.997037	1.979535	0.002654	0.100653	0.001838	3.203882
18.000000	17.988124	1.974933	0.002655	0.103213	0.002038	2.882690
19.000000	18.998328	1.960630	0.002425	0.096250	0.001761	1.665730
20.000000	20.007934	1.949228	0.002593	0.096916	0.001725	3.308667
21.000000	20.992884	1.943644	0.002637	0.097498	0.001821	3.587143
22.000000	21.993093	1.930661	0.002396	0.091551	0.001817	2.499676
23.000000	22.999341	1.925105	0.002440	0.091131	0.001615	3.117566
24.000000	23.996324	1.909938	0.002409	0.092036	0.001809	3.990581
25.000000	24.997515	1.903449	0.002528	0.092690	0.001790	3.233707
26.000000	25.990556	1.894856	0.002329	0.088333	0.001630	2.896225
27.000000	26.993228	1.885958	0.002331	0.088053	0.001654	2.901788
28.000000	27.993940	1.881370	0.002422	0.089627	0.002060	3.678682
29.000000	29.000073	1.877911	0.002414	0.086799	0.001767	4.218478
30.000000	30.007112	1.866047	0.002300	0.086630	0.001745	2.589211
31.000000	30.997171	1.857134	0.002296	0.084359	0.001485	4.070869
32.000000	32.006494	1.848718	0.002269	0.081477	0.001487	4.224630
33.000000	32.991158	1.844159	0.002331	0.083269	0.001515	3.771908
34.000000	33.989453	1.837746	0.002164	0.082078	0.001514	2.041452
35.000000	34.999382	1.836717	0.002245	0.077215	0.001299	6.836924
36.000000	36.003338	1.833081	0.002233	0.080058	0.001500	2.690640
37.000000	37.000565	1.824382	0.002263	0.082112	0.001516	2.963442
38.000000	38.001362	1.817265	0.002248	0.078838	0.001815	4.816184
39.000000	38.993083	1.806953	0.002343	0.074518	0.001374	9.438212
40.000000	39.984800	1.809334	0.002061	0.077470	0.001591	2.156823
41.000000	40.997567	1.800741	0.002116	0.078983	0.001562	1.198356
42.000000	41.993101	1.794380	0.001995	0.074855	0.001421	1.768293
43.000000	43.006179	1.792024	0.002014	0.074867	0.001504	2.013380
44.000000	43.983723	1.784167	0.002108	0.073487	0.001282	3.252442
45.000000	44.997648	1.782798	0.002051	0.069926	0.001354	6.040018
46.000000	45.986690	1.775491	0.002026	0.072635	0.001469	2.279769
47.000000	46.991852	1.769248	0.002074	0.073481	0.001407	4.192777
48.000000	47.992370	1.770650	0.001974	0.072038	0.001495	3.262298
49.000000	49.001294	1.764190	0.002003	0.073586	0.001474	2.245194
50.000000	50.002825	1.758426	0.001987	0.072209	0.001321	2.891033
51.000000	50.993704	1.755060	0.001999	0.071728	0.001475	3.790463
52.000000	51.991978	1.750234	0.002109	0.068074	0.001368	4.882962
53.000000	52.999519	1.747044	0.001872	0.068711	0.001312	1.045573
54.000000	53.993053	1.740568	0.002008	0.070591	0.001259	3.826595
55.000000	55.010069	1.738549	0.001980	0.067621	0.001199	4.568860
56.000000	55.994049	1.738085	0.001896	0.068647	0.001422	1.542948
57.000000	56.999547	1.731927	0.001840	0.068429	0.001325	1.203550
58.000000	57.993953	1.730831	0.001867	0.066892	0.001351	2.344196
59.000000	59.000019	1.725892	0.001893	0.068922	0.001491	1.933532
60.000000	59.997107	1.719449	0.002119	0.070370	0.001564	5.086183
61.000000	60.998114	1.715640	0.001932	0.068100	0.001446	2.854981
62.000000	61.995296	1.712090	0.001870	0.065698	0.001387	2.624267
63.000000	62.993861	1.708116	0.001963	0.067798	0.001364	3.662888
64.000000	63.991114	1.707412	0.001969	0.068670	0.001452	2.446230
65.000000	65.001661	1.704389	0.001835	0.067042	0.001341	2.660932
66.000000	65.991543	1.696551	0.001950	0.065315	0.001198	4.597320
67.000000	67.000791	1.694979	0.001855	0.065201	0.001160	3.812960
68.000000	68.006264	1.692631	0.001979	0.069998	0.001505	2.408242
69.000000	69.002801	1.687962	0.001891	0.066494	0.001267	2.235349
70.000000	69.998469	1.689041	0.001943	0.062918	0.001202	5.602721
71.000000	71.007549	1.684994	0.001768	0.063757	0.001162	2.617420
72.000000	72.001588	1.680336	0.001745	0.064403	0.001178	1.761111
73.000000	72.992586	1.679193	0.001845	0.066144	0.001386	1.452341
74.000000	73.996314	1.675330	0.001775	0.064423	0.001351	1.052578
75.000000	74.995951	1.672213	0.001840	0.065875	0.001381	1.050728
76.000000	75.992615	1.668151	0.001783	0.064789	0.001259	1.161420
77.000000	77.013160	1.663262	0.001775	0.062917	0.001226	3.872539
78.000000	77.997863	1.663043	0.001832	0.064610	0.001373	2.918149
79.000000	78.992653	1.660281	0.001795	0.063910	0.001255	1.475381
80.000000	80.006667	1.660305	0.001802	0.062524	0.001248	4.073657
81.000000	81.009922	1.652782	0.001911	0.060643	0.001130	4.663729
82.000000	82.003649	1.651065	0.001726	0.060630	0.001177	2.904410
83.000000	82.989795	1.651219	0.001745	0.060943	0.001264	2.809796
84.000000	84.003304	1.643427	0.001904	0.062673	0.001204	5.471153
85.000000	85.002074	1.645143	0.001705	0.060638	0.001120	2.034403
86.000000	85.999920	1.644474	0.001721	0.061353	0.001277	0.922967
87.000000	87.003505	1.642652	0.001788	0.062863	0.001295	1.923705
88.000000	88.007945	1.638655	0.001856	0.062279	0.001334	4.801678
89.000000	89.005875	1.632133	0.001790	0.062979	0.001396	1.709705
90.000000	90.000591	1.632225	0.001772	0.062029	0.001378	3.652456
91.000000	90.994584	1.627943	0.001770	0.061467	0.001285	1.246414
92.000000	91.985132	1.626823	0.001729	0.060727	0.001387	1.747330
93.000000	93.000601	1.622546	0.001724	0.060257	0.001169	2.367659
94.000000	93.990887	1.617879	0.001722	0.061321	0.001264	0.704193
95.000000	95.005642	1.618959	0.001722	0.060673	0.001274	0.616776
96.000000	96.011841	1.615652	0.001724	0.057115	0.001278	2.928899
97.000000	96.996662	1.612683	0.001965	0.061206	0.001336	2.846313
98.000000	97.994373	1.607655	0.001916	0.059187	0.001287	3.271278
99.000000	99.001857	1.609869	0.001913	0.059682	0.001371	1.945902
100.000000	99.998751	1.601844	0.001964	0.056745	0.001283	3.231375
101.000000	101.003067	1.596655	0.002150	0.059659	0.001315	4.056031
102.000000	102.004905	1.600066	0.002306	0.059294	0.001460	3.744935
103.000000	102.998241	1.594893	0.002275	0.059854	0.001824	3.721525
104.000000	104.000931	1.589790	0.002229	0.057443	0.001657	1.730164
105.000000	104.995919	1.587905	0.002278	0.058647	0.001446	1.298563
106.000000	106.010854	1.591001	0.002548	0.059054	0.001667	4.277416
107.000000	107.008952	1.584014	0.002113	0.057786	0.001765	2.094259
108.000000	108.008996	1.579556	0.002043	0.057764	0.001488	0.930275
109.000000	109.003516	1.582440	0.002065	0.059704	0.001491	2.564431
110.000000	110.000504	1.576893	0.001991	0.058966	0.001356	1.562535
111.000000	111.005404	1.574841	0.001803	0.059156	0.001200	0.617330
112.000000	112.008416	1.574442	0.001740	0.058899	0.001152	1.591917
113.000000	113.002062	1.571377	0.001674	0.058493	0.001215	1.135820
114.000000	113.992157	1.570664	0.001708	0.059354	0.001322	3.461507
115.000000	114.996582	1.567639	0.001624	0.060730	0.001247	0.822526
116.000000	116.012075	1.563189	0.001584	0.059441	0.001113	1.827976
117.000000	117.003680	1.565080	0.001532	0.058480	0.001075	2.041714
118.000000	117.988410	1.560003	0.001476	0.055411	0.000988	1.791477
119.000000	118.992794	1.561472	0.001589	0.058776	0.001153	1.283444
120.000000	120.000149	1.557764	0.001647	0.058002	0.001190	0.219326
121.000000	120.996231	1.555727	0.001804	0.057900	0.001275	3.880560
122.000000	121.979648	1.552176	0.001847	0.056122	0.001219	2.308867
123.000000	123.011371	1.554377	0.001896	0.057615	0.001286	2.955461
124.000000	124.011983	1.547149	0.001943	0.060324	0.001389	1.378288
125.000000	125.006056	1.545944	0.001891	0.059711	0.001403	1.457227
126.000000	126.008363	1.546695	0.001862	0.059378	0.001423	1.578585
127.000000	127.019680	1.544563	0.001777	0.053581	0.001027	4.957792
128.000000	128.005029	1.542813	0.001756	0.057875	0.001322	0.777885
129.000000	128.988360	1.538723	0.001698	0.055946	0.001152	3.210349
130.000000	130.004859	1.535222	0.001840	0.056468	0.001076	4.983987
131.000000	130.990795	1.539017	0.001661	0.056502	0.001108	1.957388
132.000000	132.000965	1.533049	0.001686	0.057761	0.001060	2.136153
133.000000	132.987777	1.529504	0.001776	0.056657	0.001129	2.649644
134.000000	134.000958	1.529253	0.001633	0.056689	0.001192	0.340282
135.000000	135.005821	1.527472	0.001631	0.055721	0.001215	1.114496
136.000000	135.994077	1.527865	0.001688	0.055479	0.001109	3.461021
137.000000	137.001096	1.528825	0.001648	0.053702	0.001277	1.904172
138.000000	137.998904	1.525624	0.001809	0.059666	0.001419	0.342832
139.000000	138.993506	1.523909	0.001714	0.057676	0.001345	1.210533
140.000000	140.010545	1.519395	0.001707	0.056231	0.001340	3.026644
141.000000	140.995869	1.516206	0.001696	0.056282	0.001182	2.110679
142.000000	142.005982	1.516238	0.001735	0.057493	0.001229	3.757516
143.000000	143.006609	1.512545	0.001607	0.055484	0.001266	2.625362
144.000000	144.002059	1.515178	0.001733	0.055967	0.001202	4.246445
145.000000	145.002137	1.514559	0.001724	0.057192	0.001324	2.561011
146.000000	146.008360	1.513418	0.001648	0.055402	0.001272	1.588133
147.000000	147.008183	1.509146	0.001772	0.057447	0.001356	3.651866
148.000000	147.990646	1.507575	0.001666	0.055644	0.001232	3.084149
149.000000	149.006819	1.504191	0.001702	0.057245	0.001210	1.158091
150.000000	150.006930	1.505024	0.001672	0.055339	0.001158	3.203492
151.000000	150.994341	1.503468	0.001622	0.054777	0.001191	1.135028
152.000000	152.006898	1.504094	0.001672	0.055190	0.001312	3.506298
153.000000	152.982379	1.500379	0.001669	0.055973	0.001260	1.190161
154.000000	154.007036	1.498573	0.001748	0.057438	0.001186	1.001200
155.000000	154.982148	1.494904	0.001634	0.055530	0.001275	1.120422
156.000000	156.001905	1.492060	0.001897	0.052224	0.000996	12.972163
157.000000	157.003306	1.494645	0.001665	0.054602	0.001161	3.466753
158.000000	158.010767	1.491145	0.001674	0.057006	0.001202	0.700508
159.000000	159.008256	1.492206	0.001663	0.053238	0.001124	3.291953
160.000000	159.977084	1.490274	0.001722	0.056768	0.001273	0.694946
161.000000	160.998311	1.490597	0.001662	0.054647	0.001264	2.820857
162.000000	161.995600	1.487420	0.001661	0.054464	0.001162	2.567471
163.000000	163.009408	1.487851	0.001629	0.053365	0.001167	2.365451
164.000000	163.996602	1.482820	0.001667	0.053087	0.001025	4.044393
165.000000	165.011082	1.480794	0.001616	0.054805	0.001146	0.962443
166.000000	165.985179	1.476773	0.001603	0.053396	0.001023	1.657819
167.000000	166.991239	1.478492	0.001660	0.055583	0.001223	2.422978
168.000000	167.991562	1.477247	0.001637	0.054927	0.001194	4.575843
169.000000	168.988740	1.479456	0.001680	0.055615	0.001211	0.665688
170.000000	169.998267	1.474825	0.001629	0.054285	0.001198	0.993166
171.000000	171.005707	1.470372	0.001694	0.055453	0.001076	1.707602
172.000000	172.006105	1.471014	0.001788	0.059448	0.001299	0.723497
173.000000	173.009940	1.469592	0.001789	0.055605	0.001343	3.861826
174.000000	174.010418	1.469006	0.001670	0.054771	0.001172	1.607702
175.000000	174.990729	1.472662	0.001577	0.054100	0.001162	0.794819
176.000000	176.003714	1.470973	0.001618	0.053727	0.001117	1.999191
177.000000	177.004103	1.463610	0.001815	0.059113	0.001269	2.157900
178.000000	177.992600	1.465765	0.001620	0.053500	0.001159	1.230140
179.000000	178.995592	1.465251	0.001772	0.057183	0.001266	2.298633
180.000000	179.998934	1.461296	0.001718	0.055157	0.001300	5.262549
181.000000	180.994046	1.462013	0.001603	0.053948	0.001221	0.439833
182.000000	182.006585	1.460744	0.001633	0.053910	0.001137	0.910292
183.000000	182.989831	1.457397	0.001688	0.056546	0.001305	1.830515
184.000000	183.988373	1.457982	0.001654	0.054614	0.001239	1.048999
185.000000	185.016025	1.455513	0.001696	0.055595	0.001253	1.860835
186.000000	186.003014	1.454922	0.001544	0.053015	0.001142	0.610440
187.000000	186.977510	1.454471	0.001556	0.052099	0.001191	1.171746
188.000000	187.996335	1.451277	0.001621	0.054399	0.001196	0.675405
189.000000	188.993349	1.451398	0.001710	0.054160	0.001210	4.220526
190.000000	189.989059	1.448910	0.001656	0.055245	0.001151	2.413355
191.000000	191.002793	1.449628	0.001637	0.053320	0.001133	3.894666
192.000000	192.011410	1.445139	0.001641	0.055101	0.001201	1.890023
193.000000	192.990844	1.445980	0.001722	0.056192	0.001279	1.476973
194.000000	193.997307	1.445352	0.001694	0.056372	0.001205	0.466613
195.000000	195.005051	1.442749	0.001663	0.055525	0.001233	0.718913
196.000000	196.003444	1.441606	0.001644	0.054245	0.001127	0.865157
197.000000	197.001595	1.438965	0.001642	0.055926	0.001144	1.033863
198.000000	198.013594	1.440937	0.001582	0.052673	0.001222	0.646281
