Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.266068	2.427474	0.004404	0.198534	0.002729	4.183854
3.000000	3.062899	2.351945	0.004857	0.195795	0.003117	2.377306
4.000000	3.867514	2.300202	0.004264	0.180605	0.002912	4.529560
5.000000	4.897534	2.261227	0.003694	0.167812	0.002784	2.798065
6.000000	5.987108	2.231567	0.003439	0.147841	0.002378	3.897589
7.000000	7.041282	2.194912	0.003472	0.143930	0.002348	4.196553
8.000000	8.017592	2.171301	0.003572	0.132759	0.002148	5.249198
9.000000	8.998870	2.150481	0.003231	0.133920	0.002251	2.696600
10.000000	9.988619	2.134440	0.003073	0.124443	0.002124	2.594178
11.000000	10.995456	2.108560	0.003234	0.127519	0.002350	2.900764
12.000000	11.998234	2.090036	0.003031	0.120993	0.002130	1.618877
13.000000	12.998260	2.080513	0.002965	0.120228	0.002219	2.378482
14.000000	13.993246	2.066745	0.002927	0.115546	0.002096	3.355774
15.000000	14.999052	2.046156	0.002824	0.107783	0.001780	2.992570
16.000000	15.999708	2.038233	0.002715	0.106141	0.002088	4.051140
17.000000	17.006583	2.025121	0.002867	0.106192	0.001985	4.065732
18.000000	17.991308	2.014363	0.002791	0.102142	0.001862	3.990813
19.000000	19.006619	1.997714	0.002730	0.101448	0.001813	2.916365
20.000000	19.992761	1.991821	0.002699	0.099350	0.001972	4.043679
21.000000	20.983962	1.982891	0.002522	0.095599	0.001792	2.711227
22.000000	21.999894	1.974250	0.002574	0.095468	0.001711	3.646194
23.000000	22.982798	1.968306	0.002616	0.093055	0.001682	4.955386
24.000000	24.005465	1.959193	0.002384	0.090887	0.001885	3.466410
25.000000	25.005092	1.947575	0.002320	0.091292	0.001625	2.844243
26.000000	26.009734	1.940452	0.002379	0.086416	0.001682	3.062596
27.000000	27.010442	1.930434	0.002421	0.092762	0.001697	1.677689
28.000000	28.003567	1.924988	0.002425	0.087971	0.001694	3.191450
29.000000	29.000097	1.915293	0.002399	0.085432	0.001703	3.006606
30.000000	30.000610	1.905897	0.002202	0.084885	0.001649	1.997840
31.000000	31.001251	1.901359	0.002251	0.079746	0.001378	5.732256
32.000000	31.991003	1.896337	0.002221	0.085872	0.001703	1.789294
33.000000	32.998727	1.886633	0.002263	0.082181	0.001483	4.189636
34.000000	33.998960	1.881916	0.002198	0.083603	0.001685	1.979316
35.000000	35.009238	1.877536	0.002312	0.080497	0.001562	3.396593
36.000000	35.996483	1.866787	0.002299	0.079267	0.001486	9.894448
37.000000	37.003594	1.864337	0.002243	0.083951	0.001741	1.812606
38.000000	38.002132	1.859748	0.002195	0.080535	0.001578	3.021560
39.000000	39.008923	1.853319	0.002232	0.080503	0.001557	3.501882
40.000000	39.986313	1.848132	0.002116	0.079573	0.001457	1.723396
41.000000	40.995995	1.841626	0.002100	0.079580	0.001611	1.782404
42.000000	41.987862	1.838463	0.002103	0.076190	0.001518	3.042623
43.000000	42.998222	1.832533	0.002048	0.076942	0.001478	2.252049
44.000000	43.992849	1.828608	0.002213	0.077873	0.001410	4.993934
45.000000	44.999241	1.821871	0.002144	0.075756	0.001601	3.837870
46.000000	45.997034	1.813741	0.002066	0.077318	0.001462	2.128871
47.000000	46.996604	1.810762	0.002011	0.074705	0.001485	2.560401
48.000000	48.002748	1.807535	0.002016	0.072686	0.001480	2.424170
49.000000	48.990779	1.801094	0.002112	0.074064	0.001426	4.400256
50.000000	49.982738	1.803282	0.002047	0.072398	0.001504	4.368694
51.000000	51.015941	1.792226	0.002056	0.069967	0.001281	5.836635
52.000000	51.999070	1.787230	0.002033	0.070855	0.001274	5.284096
53.000000	52.992050	1.788841	0.001973	0.072987	0.001572	0.945578
54.000000	53.995486	1.785233	0.001962	0.070530	0.001332	3.148271
