Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	1.916243	2.850122	0.003784	0.122508	0.002591	0.785201
3.000000	2.919834	2.726440	0.003672	0.113690	0.002661	1.322769
4.000000	3.931175	2.640281	0.003580	0.106207	0.002570	1.153033
5.000000	4.939454	2.573073	0.003215	0.097705	0.002635	1.657436
6.000000	5.969086	2.515720	0.003190	0.096511	0.002578	0.949515
7.000000	6.975023	2.475071	0.003239	0.095585	0.002203	0.824736
8.000000	7.968169	2.437139	0.003409	0.098586	0.002390	1.937442
9.000000	9.009064	2.402759	0.003267	0.093503	0.002095	1.939776
10.000000	9.986203	2.379903	0.003029	0.086957	0.002108	1.215134
11.000000	11.001219	2.349391	0.003437	0.093998	0.002390	0.827853
12.000000	11.986576	2.329530	0.003274	0.095361	0.002444	0.563564
13.000000	13.006452	2.311254	0.003177	0.090540	0.002344	0.267921
14.000000	14.005160	2.285298	0.003365	0.091916	0.002414	1.543328
15.000000	15.004885	2.272264	0.003386	0.089438	0.002312	1.454605
16.000000	16.004842	2.256468	0.003195	0.084787	0.002196	2.725752
17.000000	16.997231	2.242965	0.003397	0.093406	0.002315	0.620181
18.000000	18.006688	2.230641	0.003384	0.093289	0.002482	1.100613
19.000000	18.986707	2.208711	0.003300	0.092575	0.002300	0.540704
20.000000	20.031234	2.205037	0.003051	0.085105	0.002356	2.195816
21.000000	21.005709	2.194205	0.003218	0.090644	0.002451	0.869163
22.000000	21.988157	2.181781	0.003412	0.090748	0.002791	1.095681
23.000000	23.000408	2.172100	0.003233	0.086465	0.002046	1.636830
24.000000	24.008510	2.161679	0.003355	0.089394	0.002259	0.460778
25.000000	24.992093	2.156233	0.003282	0.090855	0.002545	1.992443
26.000000	26.000379	2.142882	0.003305	0.089777	0.002399	0.652609
27.000000	27.002821	2.134328	0.003169	0.088113	0.002315	0.992077
28.000000	28.009485	2.129755	0.003288	0.085282	0.002240	1.724711
29.000000	28.994207	2.120775	0.003139	0.084960	0.002542	2.484942
30.000000	29.992391	2.117732	0.003258	0.084766	0.002102	1.442527
31.000000	31.002013	2.107893	0.003284	0.089786	0.002691	1.906762
32.000000	31.994438	2.106506	0.003086	0.084659	0.001951	2.238227
33.000000	33.003109	2.093417	0.003279	0.090807	0.002532	0.938286
34.000000	34.002004	2.093134	0.003334	0.089300	0.002544	0.785868
35.000000	34.990951	2.079716	0.003143	0.084999	0.002417	1.293796
36.000000	35.981822	2.080950	0.003271	0.086557	0.002839	1.737821
37.000000	37.003749	2.077972	0.003123	0.083402	0.002199	1.699413
38.000000	37.990164	2.068304	0.003019	0.084324	0.002227	0.655800
39.000000	38.995836	2.060082	0.003242	0.087379	0.002556	1.437339
40.000000	40.000063	2.063924	0.003261	0.085185	0.002656	0.874914
41.000000	41.022849	2.052807	0.003070	0.084502	0.002514	1.340301
42.000000	41.988494	2.049717	0.003296	0.085018	0.002263	2.207471
