Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.260943	2.852053	0.003760	0.106246	0.002483	1.992392
3.000000	3.115848	2.751162	0.004185	0.107276	0.003024	1.022362
4.000000	3.844733	2.680521	0.003802	0.103000	0.002535	1.643703
5.000000	4.842261	2.606034	0.003516	0.105963	0.002563	2.058349
6.000000	5.965951	2.544716	0.003455	0.102740	0.002389	2.428393
7.000000	7.077468	2.497155	0.003493	0.104281	0.002429	1.112724
8.000000	8.082343	2.460344	0.003616	0.106030	0.002868	0.797709
9.000000	9.009870	2.439920	0.003750	0.103644	0.002650	1.754432
10.000000	9.968455	2.399059	0.003787	0.104753	0.002662	1.159108
11.000000	10.969261	2.384961	0.003665	0.107929	0.002728	0.753519
12.000000	11.995199	2.363792	0.003767	0.111237	0.002800	0.848263
13.000000	13.013473	2.332251	0.003724	0.110227	0.002713	0.486607
14.000000	13.997015	2.321302	0.003720	0.107967	0.002602	0.599981
15.000000	15.004255	2.307513	0.003724	0.106615	0.002627	1.423053
16.000000	16.003841	2.295152	0.003758	0.111666	0.002551	0.843677
17.000000	17.009484	2.269745	0.003912	0.109578	0.003011	1.519162
18.000000	18.010241	2.269213	0.003936	0.110376	0.002945	0.880960
19.000000	18.984284	2.254294	0.003878	0.111379	0.003082	0.734767
20.000000	20.000568	2.257261	0.003822	0.110666	0.002932	1.727086
21.000000	21.002875	2.234293	0.003710	0.108736	0.002660	0.818653
22.000000	22.000893	2.230510	0.003774	0.108763	0.002773	0.994725
23.000000	23.027146	2.221753	0.003733	0.106606	0.002482	1.309470
24.000000	24.006741	2.213233	0.003665	0.105797	0.002880	0.497955
25.000000	25.002622	2.212929	0.003733	0.108060	0.002660	0.580293
26.000000	26.010163	2.198390	0.004083	0.113557	0.003121	0.244118
27.000000	27.010856	2.186172	0.003700	0.108835	0.002537	0.814174
28.000000	28.002138	2.182115	0.003769	0.108330	0.002855	0.448492
29.000000	28.992451	2.178176	0.003946	0.111434	0.003154	1.130028
30.000000	29.980393	2.174574	0.003804	0.111160	0.002789	0.855071
31.000000	30.990345	2.164659	0.003945	0.114289	0.002905	1.118369
32.000000	32.004470	2.174608	0.003784	0.110814	0.002831	0.472388
33.000000	32.983702	2.164968	0.003948	0.111733	0.002958	0.474521
