Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.270542	2.451202	0.004657	0.208097	0.003277	3.023565
3.000000	3.070770	2.371098	0.004841	0.197658	0.003392	1.885501
4.000000	3.836267	2.317366	0.004233	0.179170	0.002972	2.847475
5.000000	4.857789	2.275838	0.003780	0.162874	0.002645	4.591364
6.000000	5.984238	2.237520	0.003390	0.157524	0.002294	3.404365
7.000000	7.072416	2.209521	0.003491	0.140514	0.002316	4.656919
8.000000	8.063706	2.188891	0.003177	0.133065	0.002061	2.630557
9.000000	9.007852	2.163066	0.003372	0.133439	0.002558	3.208565
10.000000	9.978674	2.141294	0.003145	0.128287	0.002191	2.582544
11.000000	10.980007	2.129047	0.003085	0.123856	0.002118	3.656880
12.000000	11.998057	2.102058	0.003042	0.118197	0.002119	3.422524
13.000000	12.997451	2.090973	0.002896	0.111077	0.001885	2.673498
14.000000	14.011379	2.076989	0.002847	0.114489	0.002045	3.016498
15.000000	14.993172	2.057650	0.002831	0.109617	0.001884	4.025905
16.000000	16.005106	2.050309	0.002824	0.103613	0.001778	4.776709
17.000000	16.992713	2.036895	0.003010	0.095200	0.001688	10.933124
18.000000	17.993320	2.026099	0.002770	0.104413	0.002061	3.759700
19.000000	19.002547	2.020168	0.002718	0.096757	0.001703	4.743755
20.000000	20.002743	2.002293	0.002520	0.099159	0.001785	1.832213
21.000000	20.999785	1.999889	0.002622	0.100866	0.001989	2.209845
22.000000	21.998677	1.985319	0.002394	0.086990	0.001541	5.208598
23.000000	23.001449	1.976745	0.002402	0.092322	0.001602	2.887285
24.000000	23.991789	1.968416	0.002469	0.094769	0.001990	2.846959
25.000000	25.009666	1.958747	0.002427	0.089078	0.001599	2.487781
26.000000	26.002295	1.948944	0.002340	0.089350	0.001729	2.712765
27.000000	26.993303	1.943714	0.002409	0.085069	0.001525	5.668473
28.000000	27.987940	1.935688	0.002305	0.088051	0.001631	3.062071
29.000000	28.994397	1.927590	0.002191	0.083266	0.001605	3.560143
30.000000	29.981609	1.923271	0.002250	0.082283	0.001709	4.114643
31.000000	31.008613	1.913938	0.002310	0.083018	0.001585	3.849727
32.000000	31.987682	1.911101	0.002243	0.085019	0.001788	2.835152
33.000000	32.994860	1.901826	0.002297	0.084715	0.001478	3.526157
34.000000	34.003821	1.891506	0.002241	0.081688	0.001402	3.897940
35.000000	35.011653	1.891776	0.002245	0.081406	0.001645	3.856742
36.000000	36.009410	1.878279	0.002178	0.080928	0.001648	2.328688
37.000000	36.997451	1.873514	0.002227	0.079658	0.001594	5.452941
38.000000	38.013215	1.872095	0.002176	0.077317	0.001479	4.239680
39.000000	39.013739	1.865052	0.002254	0.082016	0.001576	1.808944
40.000000	40.000449	1.858195	0.002055	0.075290	0.001504	3.362609
41.000000	40.992833	1.855181	0.002061	0.076317	0.001390	2.102093
42.000000	42.011328	1.848260	0.002076	0.078414	0.001525	2.144260
43.000000	42.989307	1.843308	0.002075	0.076845	0.001556	1.218907
44.000000	43.996550	1.837156	0.002063	0.076476	0.001550	1.450802
45.000000	44.994557	1.834574	0.002018	0.073302	0.001364	2.677758
46.000000	45.995092	1.828122	0.002012	0.075517	0.001530	0.961360
47.000000	47.011538	1.821406	0.002193	0.076514	0.001628	3.362649
48.000000	48.009570	1.819558	0.002057	0.072763	0.001394	3.502769
49.000000	48.993842	1.818583	0.001972	0.073403	0.001458	1.767818
50.000000	49.995133	1.814331	0.001903	0.069082	0.001487	4.954209
51.000000	51.002946	1.804393	0.001978	0.068390	0.001313	5.220791
52.000000	52.003992	1.800038	0.001936	0.072657	0.001262	2.353392
53.000000	53.001848	1.797486	0.001963	0.068599	0.001150	6.109594
54.000000	53.995509	1.795111	0.002076	0.069057	0.001321	5.987955
55.000000	55.007920	1.789972	0.001944	0.068064	0.001265	3.292015
56.000000	56.013371	1.789949	0.001898	0.069281	0.001379	1.322606
57.000000	56.994448	1.784466	0.001965	0.067153	0.001480	5.167465
58.000000	58.004690	1.779694	0.001841	0.067176	0.001376	1.394793
59.000000	58.997271	1.773835	0.001940	0.070338	0.001396	1.976140
60.000000	60.003880	1.769162	0.001907	0.067765	0.001435	1.859261
61.000000	60.995606	1.770436	0.001921	0.068341	0.001541	3.094059
62.000000	62.001497	1.765998	0.001935	0.068600	0.001314	2.754141
63.000000	62.995730	1.760557	0.001909	0.067419	0.001311	2.820339
64.000000	64.006745	1.757228	0.001945	0.067715	0.001445	3.467145
65.000000	64.982470	1.752818	0.001763	0.065393	0.001243	1.560098
66.000000	66.002995	1.748741	0.001874	0.066764	0.001205	3.169753
67.000000	67.012039	1.748671	0.001847	0.067092	0.001308	2.034275
68.000000	68.009699	1.748742	0.001911	0.068890	0.001547	1.104606
69.000000	68.995850	1.741526	0.001722	0.063620	0.001171	1.754018
70.000000	69.990899	1.739367	0.001795	0.065280	0.001244	1.630845
71.000000	71.011428	1.736920	0.001786	0.062896	0.001316	3.421996
72.000000	72.005897	1.728831	0.001825	0.065145	0.001313	3.060699
73.000000	72.990317	1.729166	0.001828	0.062492	0.001368	6.776471
74.000000	74.000464	1.725274	0.001756	0.063837	0.001377	0.637521
75.000000	75.003433	1.723950	0.001822	0.062987	0.001325	3.580199
76.000000	75.998598	1.719472	0.001791	0.066115	0.001323	0.784398
77.000000	76.984155	1.712283	0.001746	0.063197	0.001316	1.531765
78.000000	77.997213	1.712702	0.001830	0.065052	0.001256	2.593108
79.000000	79.006358	1.712565	0.001830	0.063517	0.001317	3.155547
80.000000	79.989243	1.708318	0.001864	0.062373	0.001222	4.551263
81.000000	80.996495	1.704639	0.001724	0.062968	0.001493	3.284787
82.000000	81.991030	1.700230	0.001880	0.061450	0.001123	5.085488
83.000000	83.006136	1.695541	0.001852	0.063133	0.001205	4.895208
84.000000	83.990382	1.695747	0.001708	0.060498	0.001070	2.819982
85.000000	85.005362	1.693960	0.001741	0.061046	0.001194	3.523059
86.000000	85.999831	1.691587	0.001763	0.061679	0.001182	1.959810
87.000000	86.980100	1.686201	0.001809	0.062055	0.001153	4.060586
88.000000	88.007303	1.685014	0.001779	0.061650	0.001253	1.799654
89.000000	88.994553	1.681304	0.001742	0.061539	0.001231	0.787762
90.000000	90.000263	1.680273	0.001704	0.058249	0.001161	2.851175
91.000000	90.992170	1.678819	0.001724	0.060107	0.001192	3.052919
92.000000	92.005037	1.678761	0.001786	0.061871	0.001299	2.712668
93.000000	92.992340	1.672411	0.001692	0.061309	0.001164	1.119332
94.000000	93.980571	1.671096	0.001763	0.061606	0.001165	2.786437
95.000000	95.002114	1.670196	0.001694	0.060723	0.001291	1.969437
96.000000	95.992811	1.666633	0.001701	0.060155	0.001227	2.363651
97.000000	97.007793	1.667968	0.001673	0.059836	0.001227	2.873423
98.000000	97.995942	1.660818	0.001793	0.060586	0.001195	4.577826
99.000000	98.999809	1.657693	0.001715	0.060306	0.001181	1.270154
100.000000	99.991797	1.655964	0.001658	0.058552	0.001099	2.752588
101.000000	100.990744	1.656059	0.001647	0.060111	0.001199	0.893311
102.000000	101.988856	1.652215	0.001681	0.058129	0.001080	2.159188
103.000000	103.012513	1.647073	0.001719	0.058430	0.000999	4.380553
104.000000	104.000534	1.645895	0.001773	0.059273	0.001038	4.129369
105.000000	104.991157	1.644476	0.001755	0.059232	0.001062	4.139521
106.000000	105.998912	1.642579	0.001664	0.060329	0.001133	1.155439
107.000000	106.995316	1.644088	0.001668	0.060177	0.001190	1.175152
108.000000	108.005485	1.636120	0.001705	0.059463	0.001094	2.618847
109.000000	109.006926	1.638840	0.001664	0.056781	0.001153	4.233206
110.000000	109.993809	1.635189	0.001695	0.059485	0.001287	1.061029
111.000000	110.983193	1.630986	0.001681	0.059997	0.001244	0.842086
112.000000	112.014431	1.630666	0.001736	0.060336	0.001184	1.015594
113.000000	112.998333	1.628561	0.001663	0.057452	0.001304	2.341928
114.000000	114.001631	1.628019	0.001694	0.057482	0.001265	3.502227
115.000000	114.991404	1.625243	0.001695	0.058397	0.001129	1.163430
116.000000	116.011831	1.622380	0.001700	0.056640	0.001167	6.554772
117.000000	116.994338	1.620794	0.001738	0.058996	0.001207	1.280261
118.000000	118.005510	1.616746	0.001881	0.062479	0.001357	0.601000
119.000000	118.996045	1.611006	0.001801	0.057436	0.001256	2.434088
120.000000	119.990289	1.612615	0.001795	0.058693	0.001469	1.894526
121.000000	120.997636	1.610199	0.001862	0.057403	0.001231	1.549220
122.000000	121.985037	1.609723	0.001778	0.056187	0.001273	0.993176
123.000000	122.999862	1.607504	0.001958	0.058067	0.001450	3.917176
124.000000	123.997897	1.602423	0.002024	0.054247	0.001220	4.387045
125.000000	125.012197	1.602184	0.002022	0.057571	0.001414	2.674614
126.000000	125.993564	1.601290	0.002070	0.057502	0.001288	2.967083
127.000000	127.002151	1.596828	0.002067	0.058570	0.001495	1.478399
128.000000	128.000009	1.595525	0.001893	0.055668	0.001247	2.255122
129.000000	128.984770	1.592736	0.001929	0.055844	0.001458	0.416460
130.000000	129.993839	1.590690	0.002092	0.057067	0.001362	1.790609
131.000000	131.008598	1.592666	0.001998	0.055029	0.001336	1.636944
132.000000	132.006946	1.584193	0.002049	0.058445	0.001390	0.926351
133.000000	132.999956	1.587131	0.001973	0.056580	0.001303	1.406001
134.000000	134.008991	1.586725	0.001832	0.055404	0.001268	0.833546
135.000000	134.995095	1.579561	0.001931	0.058748	0.001518	1.166795
136.000000	136.004931	1.577774	0.001768	0.055131	0.001335	0.273581
