Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.278207	2.432486	0.004589	0.203664	0.002996	4.224001
3.000000	3.070852	2.363398	0.004760	0.186076	0.003117	2.567734
4.000000	3.810668	2.310333	0.004205	0.178194	0.003002	3.512197
5.000000	4.842669	2.278366	0.003630	0.163001	0.002738	3.821427
6.000000	5.968042	2.240272	0.003656	0.147856	0.002353	5.551803
7.000000	7.081312	2.205452	0.003245	0.143241	0.002309	2.651191
8.000000	8.109161	2.183729	0.003308	0.137352	0.002386	1.800470
9.000000	9.031815	2.160935	0.003549	0.134539	0.002793	3.322096
10.000000	9.952110	2.143966	0.003273	0.125684	0.002381	3.690741
11.000000	10.972124	2.122028	0.003029	0.119979	0.002029	3.276587
12.000000	11.983692	2.105573	0.002911	0.114759	0.002115	2.941323
13.000000	12.999749	2.088879	0.002969	0.119715	0.002350	2.276536
14.000000	14.018093	2.080807	0.002591	0.104700	0.001766	2.888816
15.000000	14.999380	2.056189	0.002820	0.112274	0.002001	2.836453
16.000000	15.996524	2.047381	0.002814	0.102334	0.001885	5.603453
17.000000	16.995929	2.037004	0.002811	0.104611	0.001988	4.896741
18.000000	17.997601	2.021184	0.002809	0.099920	0.001909	5.476977
19.000000	18.998736	2.011719	0.002553	0.097326	0.001853	4.275534
20.000000	19.991380	1.997383	0.002709	0.098181	0.001970	5.228161
21.000000	20.998469	1.992059	0.002547	0.096896	0.001841	2.563868
22.000000	21.993172	1.982771	0.002370	0.090165	0.001623	3.325887
23.000000	22.999475	1.977064	0.002420	0.092844	0.001686	2.449660
24.000000	23.989949	1.966083	0.002471	0.093725	0.002119	4.082062
25.000000	24.989489	1.958945	0.002407	0.087517	0.001723	5.435778
26.000000	25.978521	1.945634	0.002303	0.086725	0.001542	2.999356
27.000000	27.000424	1.938865	0.002301	0.088706	0.001687	1.620508
28.000000	28.011653	1.933096	0.002426	0.090684	0.001968	3.290181
29.000000	29.000569	1.927973	0.002268	0.084430	0.001486	2.732743
30.000000	30.003768	1.912514	0.002339	0.088699	0.001620	3.683663
31.000000	31.001332	1.910561	0.002406	0.086432	0.001550	4.664300
32.000000	32.005878	1.907236	0.002122	0.081085	0.001661	2.060044
33.000000	32.999414	1.899968	0.002124	0.079771	0.001378	3.168354
34.000000	33.987658	1.892106	0.002327	0.080650	0.001510	5.643644
35.000000	35.000366	1.883493	0.002205	0.080591	0.001558	2.473189
36.000000	35.996347	1.878523	0.002186	0.081629	0.001631	2.772201
37.000000	36.993482	1.874999	0.002106	0.078266	0.001500	2.230873
38.000000	37.991772	1.868005	0.002230	0.079888	0.001654	2.958866
39.000000	39.008973	1.858832	0.002090	0.078278	0.001573	2.285375
40.000000	40.009775	1.856004	0.002300	0.071853	0.001284	9.053797
41.000000	40.997496	1.849532	0.002207	0.079080	0.001498	3.023588
