Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.000994	2.451254	0.004123	0.173646	0.002412	9.949023
3.000000	3.024374	2.319963	0.004004	0.181620	0.002727	2.952244
4.000000	4.037962	2.252215	0.003840	0.174187	0.002693	2.955089
5.000000	5.044136	2.215364	0.003860	0.163306	0.002863	3.811934
6.000000	6.032845	2.185159	0.003749	0.152822	0.002765	2.930939
7.000000	7.021745	2.156565	0.003373	0.139338	0.002593	4.078820
8.000000	8.018852	2.131721	0.003485	0.138804	0.002575	4.034809
9.000000	9.009439	2.110372	0.003289	0.133638	0.002346	3.290408
10.000000	9.992858	2.092151	0.003198	0.124823	0.002163	4.317574
11.000000	10.982066	2.073360	0.002905	0.119526	0.002014	2.897750
12.000000	12.001554	2.060750	0.003114	0.112003	0.001898	6.375688
13.000000	12.989923	2.038533	0.002909	0.113321	0.002176	3.666961
14.000000	13.978286	2.031662	0.002721	0.110029	0.001868	3.414011
15.000000	14.996724	2.013698	0.002764	0.107835	0.001997	2.670241
16.000000	16.005544	1.999440	0.002813	0.106734	0.002075	3.113019
17.000000	16.992919	1.989952	0.002838	0.104686	0.001975	5.007011
18.000000	18.001026	1.979460	0.002621	0.099834	0.001817	2.924052
19.000000	18.992988	1.965514	0.002820	0.099689	0.001815	5.497226
20.000000	20.004132	1.961143	0.002604	0.097242	0.001850	3.149238
21.000000	20.994370	1.946675	0.002531	0.098393	0.001792	3.224231
22.000000	22.001247	1.934945	0.002509	0.097476	0.001734	3.115867
23.000000	23.011803	1.928484	0.002399	0.094281	0.001685	2.184691
24.000000	24.009356	1.922845	0.002336	0.092804	0.001853	3.262840
25.000000	24.995724	1.913340	0.002304	0.089199	0.001618	2.420048
26.000000	25.992737	1.903494	0.002478	0.093768	0.001817	3.254346
27.000000	26.997305	1.893776	0.002385	0.089562	0.001627	3.517748
28.000000	28.009158	1.888899	0.002445	0.092057	0.001709	1.856107
29.000000	28.995379	1.884660	0.002178	0.083440	0.001565	3.006156
30.000000	29.994621	1.871056	0.002423	0.086002	0.001626	4.216562
31.000000	30.994355	1.865542	0.002311	0.084243	0.001513	2.592179
32.000000	32.001926	1.862111	0.002135	0.084410	0.001692	1.465474
33.000000	33.004293	1.849914	0.002329	0.088206	0.001733	2.116156
34.000000	33.996420	1.847786	0.002182	0.081857	0.001492	3.108060
35.000000	35.014968	1.842414	0.002239	0.081082	0.001501	3.917919
36.000000	36.014570	1.837036	0.002145	0.080633	0.001587	2.947793
37.000000	36.996457	1.827405	0.002152	0.078230	0.001315	3.594126
38.000000	37.993203	1.826011	0.002184	0.079710	0.001658	2.624215
39.000000	38.992525	1.816917	0.002189	0.079602	0.001452	3.231707
40.000000	40.003025	1.811825	0.002122	0.078601	0.001685	2.689264
41.000000	41.012467	1.811271	0.002194	0.078503	0.001677	5.001895
42.000000	42.003277	1.803780	0.002074	0.076384	0.001505	1.364853
43.000000	43.005932	1.801898	0.002098	0.077120	0.001516	2.578392
44.000000	43.999389	1.793898	0.002025	0.076100	0.001529	2.023519
45.000000	45.009235	1.788472	0.001968	0.073932	0.001373	3.958814
46.000000	45.995064	1.787125	0.001920	0.071890	0.001615	3.640794
47.000000	47.008467	1.780594	0.002002	0.074499	0.001439	2.113385
48.000000	47.994897	1.775443	0.001997	0.073802	0.001352	2.467598
49.000000	48.989638	1.771827	0.001949	0.072462	0.001341	1.826715
50.000000	49.998420	1.770206	0.001905	0.069673	0.001510	3.095412
51.000000	51.008026	1.761318	0.002003	0.074629	0.001521	1.525821
52.000000	52.003123	1.757057	0.001990	0.074040	0.001424	1.422011
53.000000	52.999733	1.756735	0.001963	0.071922	0.001466	1.977641
54.000000	53.994894	1.751607	0.001928	0.069983	0.001329	2.137897
55.000000	54.993779	1.743221	0.001916	0.072351	0.001450	1.714945
56.000000	56.010273	1.743209	0.002040	0.071141	0.001322	4.517774
57.000000	57.012924	1.736413	0.002000	0.068869	0.001258	3.932127
58.000000	57.995664	1.737785	0.001994	0.074365	0.001693	1.648861
59.000000	59.011233	1.732868	0.002001	0.070782	0.001436	3.502074
60.000000	60.006986	1.728233	0.002019	0.070087	0.001489	3.337237
61.000000	61.009996	1.725918	0.001916	0.068825	0.001376	1.138125
62.000000	62.007976	1.719041	0.001936	0.068612	0.001365	2.827183
63.000000	62.999154	1.716083	0.001885	0.069397	0.001361	1.514479
64.000000	64.006307	1.713735	0.001855	0.067435	0.001412	1.774937
65.000000	65.001588	1.710452	0.001893	0.068206	0.001254	4.367283
66.000000	65.995058	1.706985	0.001913	0.067382	0.001377	3.091554
67.000000	67.003353	1.702071	0.001890	0.067820	0.001355	2.379341
68.000000	67.996508	1.697965	0.001911	0.068860	0.001442	3.280643
69.000000	68.980276	1.693157	0.001853	0.067567	0.001395	1.440272
70.000000	69.994931	1.692340	0.001785	0.065024	0.001208	2.337764
71.000000	71.010291	1.689168	0.001884	0.068053	0.001399	1.863103
72.000000	71.992531	1.689478	0.001833	0.065979	0.001343	2.151696
73.000000	72.985376	1.682318	0.001869	0.066493	0.001392	2.969290
74.000000	73.994390	1.682619	0.001790	0.066326	0.001247	1.004996
75.000000	75.003833	1.674329	0.001787	0.065331	0.001206	1.627844
76.000000	75.999512	1.675842	0.001761	0.063645	0.001323	2.242401
77.000000	76.992952	1.671723	0.001898	0.065753	0.001315	3.190888
78.000000	77.999801	1.667989	0.001778	0.063304	0.001258	2.433046
79.000000	78.999285	1.666014	0.001826	0.065922	0.001307	2.067686
80.000000	80.001468	1.663050	0.001720	0.063859	0.001281	0.456870
81.000000	81.008293	1.660478	0.001810	0.066797	0.001376	0.544415
82.000000	82.000570	1.658227	0.001837	0.063941	0.001290	2.821986
83.000000	82.989991	1.655756	0.001791	0.065720	0.001282	1.878763
84.000000	83.994865	1.650733	0.001752	0.065569	0.001294	0.678385
85.000000	84.991997	1.648319	0.001769	0.062045	0.001154	2.113976
86.000000	85.996176	1.648334	0.001779	0.065053	0.001288	0.575439
87.000000	86.995838	1.646917	0.001858	0.065744	0.001322	1.268370
88.000000	88.006994	1.642772	0.001753	0.064018	0.001322	0.844500
89.000000	88.994292	1.638788	0.001852	0.065051	0.001333	1.343191
90.000000	90.009126	1.636079	0.001671	0.061077	0.001250	0.938083
91.000000	90.991588	1.635349	0.001761	0.063282	0.001293	0.777885
92.000000	92.006896	1.630469	0.001712	0.062307	0.001212	1.496098
93.000000	92.987290	1.627454	0.001841	0.064908	0.001355	1.828052
