Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	1.987741	2.857233	0.003545	0.116500	0.002767	0.787423
3.000000	3.013376	2.715979	0.003497	0.106555	0.002850	1.585268
4.000000	4.040105	2.631756	0.003348	0.101103	0.002596	0.454018
5.000000	5.074432	2.563968	0.003235	0.096859	0.002451	1.348020
6.000000	6.088512	2.507711	0.003316	0.097276	0.002480	0.685100
7.000000	7.075556	2.467440	0.003277	0.094729	0.002323	0.390099
8.000000	8.080962	2.432487	0.003335	0.094623	0.002330	0.604824
9.000000	9.049119	2.397412	0.003381	0.096623	0.002579	0.429210
10.000000	10.014343	2.368498	0.003112	0.092272	0.002223	0.955499
11.000000	11.026418	2.351769	0.003338	0.091738	0.002341	1.232983
12.000000	11.999609	2.318659	0.003286	0.096081	0.002395	0.353990
13.000000	13.002454	2.309493	0.003488	0.096313	0.002761	0.455987
14.000000	13.993110	2.281754	0.003266	0.092310	0.002382	0.775523
15.000000	14.991745	2.270029	0.003402	0.092698	0.002452	1.292055
16.000000	16.011274	2.246698	0.003349	0.092804	0.002329	0.867190
17.000000	17.010212	2.241861	0.003271	0.089144	0.002665	1.523733
18.000000	17.981975	2.226730	0.003294	0.092707	0.002444	0.679423
19.000000	19.000301	2.216702	0.003096	0.091611	0.002147	0.806598
20.000000	19.994066	2.204294	0.003396	0.093592	0.002614	0.835273
21.000000	21.002220	2.195495	0.003314	0.092460	0.002524	0.650827
22.000000	21.976063	2.177701	0.003214	0.087291	0.001977	3.331584
23.000000	22.990343	2.173935	0.003183	0.090057	0.002214	0.540875
24.000000	24.002338	2.161531	0.003310	0.090953	0.002100	1.493418
25.000000	25.017403	2.158455	0.003233	0.091140	0.002497	0.953023
26.000000	26.012002	2.152482	0.003355	0.091680	0.002606	0.768950
27.000000	27.009885	2.142693	0.003398	0.090556	0.002600	0.630521
28.000000	27.993397	2.140049	0.003282	0.090796	0.002412	0.976466
29.000000	29.008362	2.127143	0.003458	0.093761	0.002439	0.959347
30.000000	30.003384	2.124674	0.003101	0.087700	0.002404	0.925508
31.000000	31.013967	2.115930	0.003260	0.089812	0.002235	0.862354
32.000000	31.996094	2.106224	0.003185	0.089220	0.002240	1.163600
33.000000	33.001372	2.101348	0.003299	0.088296	0.002655	1.058728
34.000000	34.017166	2.101929	0.003176	0.085052	0.002270	0.797962
35.000000	35.005053	2.089835	0.003219	0.092542	0.002384	0.213478
36.000000	36.011081	2.091238	0.003252	0.091132	0.002095	1.240013
37.000000	37.004001	2.083654	0.003212	0.088755	0.002442	0.746913
38.000000	37.997765	2.082566	0.003358	0.091579	0.002504	1.099005
39.000000	39.000863	2.073618	0.003055	0.084712	0.002022	1.196595
40.000000	39.977485	2.076569	0.003281	0.090530	0.002350	1.326123
41.000000	41.016837	2.065932	0.003302	0.091384	0.002584	1.261505
42.000000	41.996781	2.065007	0.003152	0.089104	0.002378	0.904103
43.000000	43.013387	2.063725	0.003262	0.089100	0.002405	1.257756
44.000000	43.995374	2.054889	0.003173	0.085536	0.002215	1.020190
45.000000	45.004341	2.053708	0.003249	0.085652	0.002234	2.207803
46.000000	45.976017	2.053563	0.003369	0.091697	0.002689	1.179342
47.000000	47.004379	2.045705	0.003186	0.086961	0.002120	2.609013
48.000000	48.002050	2.044022	0.003078	0.084506	0.002415	2.033264
49.000000	48.980203	2.039297	0.003199	0.086266	0.002431	1.491948
50.000000	49.996255	2.040628	0.003055	0.084165	0.002419	1.219955
51.000000	51.006902	2.031284	0.003080	0.087604	0.002220	0.947782
52.000000	51.993628	2.021004	0.003272	0.080699	0.001950	2.886406
53.000000	52.987264	2.034397	0.003215	0.087550	0.002099	1.721538
54.000000	53.996281	2.028322	0.003244	0.088934	0.002429	0.802896
55.000000	54.995723	2.026659	0.003406	0.091052	0.002500	1.452910
56.000000	56.003661	2.024388	0.003191	0.089096	0.002401	0.508866
57.000000	57.006044	2.015118	0.003315	0.087636	0.002522	1.282808
58.000000	57.992380	2.027524	0.003166	0.083821	0.002324	1.780712
59.000000	58.980090	2.017954	0.002993	0.082398	0.002452	0.676091
60.000000	59.991314	2.012262	0.003223	0.087852	0.002513	0.824262
61.000000	60.985868	2.017670	0.003235	0.086944	0.002559	1.320583
62.000000	61.990382	2.008996	0.003226	0.085014	0.002234	2.355149
63.000000	63.003142	2.012488	0.003365	0.089822	0.002582	0.687765
64.000000	63.979843	2.001185	0.003185	0.086707	0.002279	1.698983
65.000000	64.976675	2.000671	0.003264	0.086894	0.002234	1.346139
66.000000	66.019932	2.004019	0.003126	0.084627	0.002476	1.117230
67.000000	66.986324	1.998206	0.003177	0.086509	0.002296	1.551484
68.000000	68.005822	1.990991	0.003231	0.086252	0.002282	1.100426
69.000000	68.991706	1.993560	0.003336	0.091393	0.002595	0.455310
