Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.136887	2.432448	0.004242	0.196486	0.002990	3.021977
3.000000	3.156684	2.335033	0.004136	0.186630	0.002964	2.803303
4.000000	4.099468	2.275631	0.004199	0.169425	0.002644	4.192176
5.000000	5.023816	2.245372	0.003868	0.168333	0.002869	2.159611
6.000000	5.982957	2.211089	0.003870	0.149281	0.002562	4.796813
7.000000	6.967557	2.177421	0.003579	0.145617	0.002446	4.014973
8.000000	7.980268	2.162807	0.003133	0.135251	0.002312	2.401943
9.000000	9.001226	2.136579	0.003276	0.133636	0.002252	3.418768
10.000000	10.003270	2.110746	0.003217	0.132221	0.002280	2.967798
11.000000	10.996885	2.102125	0.002990	0.121856	0.002353	3.573917
12.000000	12.000161	2.081077	0.003060	0.116774	0.002344	4.992610
13.000000	13.005681	2.064483	0.002922	0.109791	0.001858	5.016081
14.000000	14.004201	2.052590	0.002941	0.109523	0.001941	5.138444
15.000000	14.998346	2.038260	0.002749	0.105396	0.001811	2.492765
16.000000	15.995655	2.024970	0.002692	0.105463	0.002039	3.065158
17.000000	16.996795	2.012216	0.002766	0.105861	0.001931	3.160125
18.000000	18.013648	2.002236	0.002696	0.099341	0.001910	4.426824
19.000000	18.999483	1.987049	0.002629	0.101985	0.001707	2.680739
20.000000	19.990510	1.979978	0.002852	0.100779	0.001887	5.626743
21.000000	21.002594	1.971624	0.002422	0.095103	0.001854	3.266497
22.000000	22.017805	1.956981	0.002432	0.095584	0.001692	2.000444
23.000000	23.007077	1.953617	0.002472	0.093181	0.001686	2.747213
24.000000	23.994851	1.942263	0.002421	0.095421	0.001833	1.237895
25.000000	25.000424	1.936564	0.002389	0.088048	0.001632	4.402923
26.000000	26.011477	1.929692	0.002540	0.091507	0.001737	5.023358
27.000000	27.003781	1.916226	0.002384	0.087206	0.001582	2.360070
28.000000	28.000358	1.909140	0.002280	0.084268	0.001654	3.883795
29.000000	29.011764	1.904438	0.002337	0.087636	0.001676	3.298182
30.000000	29.993005	1.890766	0.002223	0.085003	0.001587	1.479919
31.000000	31.000420	1.889702	0.002277	0.083852	0.001570	3.831065
32.000000	31.989459	1.883365	0.002266	0.086088	0.001805	2.322174
