Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.135869	2.444925	0.003966	0.190271	0.002327	7.750838
3.000000	3.199948	2.338797	0.003984	0.184905	0.002762	2.923725
4.000000	4.162940	2.281515	0.004371	0.179567	0.003191	3.027806
5.000000	5.066610	2.254822	0.004135	0.164546	0.003009	3.452119
6.000000	5.954107	2.223960	0.003796	0.151044	0.002588	2.631356
7.000000	6.908589	2.194651	0.003698	0.149083	0.002926	3.505560
8.000000	7.922147	2.171451	0.003412	0.136005	0.002429	4.377311
9.000000	8.955374	2.145208	0.003340	0.131031	0.002100	4.949810
10.000000	9.991367	2.126673	0.003146	0.123971	0.002150	4.003684
11.000000	11.012585	2.103612	0.002989	0.119817	0.002025	4.119658
12.000000	11.993756	2.095370	0.002967	0.114931	0.002073	2.714783
13.000000	13.001616	2.076068	0.002923	0.113697	0.002179	3.325592
14.000000	14.005016	2.065863	0.002881	0.107584	0.002199	4.272553
15.000000	14.996685	2.051087	0.002744	0.102466	0.001711	4.249110
16.000000	16.012186	2.038345	0.002624	0.103360	0.001742	2.154633
17.000000	16.988856	2.025420	0.002708	0.101894	0.001891	4.532472
18.000000	18.001391	2.007010	0.002934	0.102184	0.001777	5.112084
19.000000	18.990575	2.005700	0.002564	0.100304	0.002079	3.997896
20.000000	19.991789	1.989255	0.002610	0.098584	0.001753	3.570907
21.000000	20.995750	1.985186	0.002814	0.096619	0.002019	5.502628
22.000000	22.004920	1.973926	0.002450	0.094707	0.001823	2.573647
23.000000	22.998392	1.961577	0.002390	0.090669	0.001630	2.781319
24.000000	23.990255	1.958352	0.002545	0.091090	0.001786	3.937276
25.000000	25.000199	1.947591	0.002344	0.089372	0.001769	3.573563
26.000000	26.005154	1.937191	0.002384	0.088889	0.001845	3.273649
27.000000	27.005170	1.932748	0.002263	0.086377	0.001517	2.428624
28.000000	28.002653	1.923017	0.002370	0.087180	0.001499	2.754486
29.000000	29.007942	1.917973	0.002348	0.085083	0.001658	2.601786
30.000000	29.998959	1.909753	0.002250	0.084558	0.001769	1.882808
