Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	1.934281	2.835719	0.003748	0.125913	0.002646	0.589848
3.000000	2.933373	2.707299	0.003694	0.113077	0.002349	2.254557
4.000000	3.943258	2.615509	0.003595	0.109254	0.002677	1.283215
5.000000	4.971471	2.542368	0.003286	0.102038	0.002127	1.229773
6.000000	5.990844	2.493449	0.003345	0.098809	0.002356	0.702287
7.000000	6.994253	2.452210	0.003584	0.103734	0.002610	0.152855
8.000000	8.007284	2.413749	0.003378	0.096965	0.002355	1.073865
9.000000	9.015352	2.388460	0.003557	0.096159	0.002449	1.240683
10.000000	9.982475	2.356873	0.003295	0.092240	0.002764	1.644579
11.000000	10.984269	2.337814	0.003141	0.090796	0.002066	1.419310
12.000000	12.014148	2.311173	0.003362	0.095681	0.002421	1.353736
13.000000	13.002775	2.288799	0.003351	0.096625	0.002333	0.727252
14.000000	13.998097	2.267324	0.003168	0.089119	0.002196	0.372693
15.000000	15.001343	2.250773	0.003326	0.090949	0.002384	0.940079
16.000000	16.001647	2.233142	0.003377	0.093301	0.002701	1.285990
17.000000	17.002659	2.219353	0.003252	0.086553	0.002258	1.204491
18.000000	18.010146	2.213174	0.003165	0.089457	0.002138	0.213902
19.000000	19.010031	2.193096	0.003420	0.095494	0.002711	0.342991
20.000000	19.998415	2.182014	0.003389	0.091075	0.002620	1.880063
21.000000	20.999624	2.169043	0.003332	0.086082	0.002281	0.609161
22.000000	22.001077	2.164379	0.003353	0.091860	0.002785	1.460033
23.000000	22.995295	2.151740	0.003253	0.091142	0.002235	0.594698
24.000000	23.998754	2.141968	0.003314	0.089137	0.002583	1.723811
25.000000	24.985321	2.141134	0.003288	0.092135	0.002502	0.528926
26.000000	25.999091	2.126324	0.003273	0.089748	0.002340	1.312846
27.000000	27.004130	2.112769	0.003313	0.089782	0.002573	0.737023
28.000000	27.987765	2.106695	0.003257	0.089545	0.002466	0.388869
29.000000	29.002700	2.098970	0.003247	0.089720	0.002186	0.369910
30.000000	29.978957	2.096570	0.003345	0.089615	0.002331	0.665665
31.000000	30.982311	2.091331	0.003312	0.093315	0.002481	0.799004
32.000000	31.975168	2.078964	0.003394	0.089052	0.002267	0.698842
33.000000	32.992454	2.078152	0.003318	0.088715	0.002535	1.391266
34.000000	33.993096	2.072999	0.003188	0.089254	0.002310	0.422720
35.000000	34.990100	2.059202	0.003294	0.090193	0.002350	1.484069
36.000000	36.003239	2.058937	0.003344	0.090435	0.002562	0.478807
37.000000	37.013448	2.045369	0.003197	0.086439	0.002011	1.598341
38.000000	38.008373	2.051347	0.003170	0.086532	0.002529	1.061624
39.000000	39.006464	2.039306	0.003175	0.086776	0.002256	0.338355
40.000000	39.994732	2.034832	0.003275	0.090104	0.002219	0.629644
41.000000	40.976498	2.027357	0.003101	0.085100	0.002189	0.910902
42.000000	41.997788	2.026434	0.003264	0.086261	0.002721	1.141526
43.000000	42.985880	2.024749	0.003125	0.086480	0.002281	0.754184
44.000000	44.001513	2.016705	0.003225	0.086652	0.002398	1.390951
45.000000	44.983206	2.015317	0.003177	0.084031	0.002250	1.388153
46.000000	46.019326	2.013238	0.003180	0.080620	0.002034	1.929011
47.000000	46.998390	2.006670	0.003371	0.084575	0.002217	2.584515
48.000000	47.987206	2.004741	0.003108	0.085883	0.002096	1.223404
49.000000	48.986071	1.998928	0.003162	0.085781	0.002114	1.735143
50.000000	50.001619	1.992873	0.003229	0.085492	0.002245	1.108692
51.000000	51.015350	1.995455	0.003174	0.082869	0.002443	2.093942
52.000000	52.016961	1.990458	0.003371	0.085683	0.002448	1.273260
53.000000	53.006261	1.985939	0.003030	0.081074	0.002261	2.105059
54.000000	54.011476	1.986114	0.003233	0.087623	0.002620	1.778183
55.000000	55.001163	1.976513	0.003172	0.086133	0.002493	1.194347
56.000000	55.980958	1.975714	0.003266	0.086721	0.002255	1.112757
57.000000	56.979036	1.975263	0.003134	0.084866	0.002563	0.877663
58.000000	58.005012	1.966182	0.003063	0.084876	0.002091	1.336104
59.000000	58.988160	1.962997	0.003259	0.086811	0.002384	0.651238
60.000000	60.004138	1.957550	0.003149	0.085374	0.002217	0.940448
61.000000	60.991490	1.964102	0.003188	0.083528	0.002225	1.447776
62.000000	61.983185	1.958927	0.003200	0.086274	0.002373	0.906739
63.000000	62.988981	1.957974	0.003292	0.088239	0.002464	0.421158
64.000000	64.003328	1.955578	0.003381	0.085156	0.002413	1.611599
65.000000	64.992101	1.950819	0.003207	0.082397	0.002055	1.648700
66.000000	66.001123	1.946960	0.003258	0.086097	0.002295	0.991526
67.000000	67.011195	1.943787	0.003257	0.084843	0.002077	1.757562
68.000000	68.003272	1.938328	0.003126	0.082874	0.002397	1.347224
69.000000	68.997383	1.938868	0.003195	0.086677	0.002476	0.331962
70.000000	70.009686	1.941362	0.003383	0.085359	0.002670	3.158639
71.000000	71.009971	1.934972	0.003004	0.082508	0.002186	0.901811
72.000000	71.984251	1.938683	0.003096	0.084962	0.002261	0.485590
73.000000	73.018728	1.941514	0.003090	0.082120	0.002263	2.304213
74.000000	74.007721	1.928503	0.003181	0.083608	0.002575	1.650888
75.000000	75.003306	1.929982	0.002990	0.079015	0.002322	1.646666
76.000000	75.996194	1.927957	0.003096	0.084487	0.002349	0.583438
77.000000	77.001651	1.923821	0.003317	0.085990	0.002395	2.157898
78.000000	78.007514	1.921664	0.003041	0.083937	0.002071	1.335255
79.000000	79.026270	1.918951	0.003328	0.083242	0.002283	2.843092
80.000000	80.003759	1.914537	0.003034	0.082992	0.002319	1.477375
81.000000	80.997549	1.911425	0.003106	0.085124	0.002131	0.685699
82.000000	82.001555	1.913120	0.003096	0.080479	0.002447	2.331106
83.000000	82.984771	1.916336	0.003042	0.083517	0.002053	1.296339
84.000000	83.993519	1.912581	0.003260	0.084555	0.002757	1.593111
85.000000	85.011907	1.908842	0.002927	0.079191	0.001979	2.054269
86.000000	85.983399	1.907522	0.003273	0.085649	0.002526	2.018564
87.000000	86.993265	1.897846	0.003110	0.083966	0.002163	1.668724
88.000000	87.997372	1.909971	0.003319	0.086784	0.002521	2.168336
89.000000	88.994847	1.895339	0.003185	0.083782	0.002543	1.192290
90.000000	89.990120	1.900935	0.003123	0.082621	0.002230	0.784148
91.000000	91.006194	1.891977	0.003194	0.084471	0.002352	0.976851
92.000000	92.011367	1.893870	0.003372	0.084757	0.002203	1.247481
93.000000	92.996943	1.895083	0.003247	0.083229	0.002397	2.567743
94.000000	93.998378	1.896190	0.003240	0.082715	0.002383	0.968454
95.000000	95.019760	1.893163	0.003248	0.079905	0.002726	3.476918
96.000000	95.997676	1.887712	0.003637	0.088578	0.003075	1.141139
97.000000	97.010532	1.882457	0.003335	0.081491	0.002869	2.249342
98.000000	97.980838	1.876589	0.003457	0.079638	0.002537	1.423089
99.000000	99.010160	1.872530	0.003430	0.079376	0.002405	1.446156
100.000000	99.996182	1.877075	0.003982	0.090192	0.003052	0.642437
101.000000	100.962340	1.891152	0.003582	0.079529	0.003153	2.703691
102.000000	101.997587	1.870006	0.003996	0.082682	0.002708	1.232218
103.000000	103.028226	1.877257	0.003805	0.081342	0.002650	0.800700
104.000000	103.964192	1.870218	0.003798	0.081124	0.002962	0.753014
105.000000	105.003545	1.870623	0.004168	0.087312	0.003438	1.495184
106.000000	105.996694	1.866933	0.003610	0.079329	0.002579	1.384791
107.000000	106.972599	1.864928	0.004135	0.081765	0.003122	2.427529
108.000000	108.003814	1.860387	0.003567	0.079783	0.002683	0.665835
109.000000	109.017887	1.860091	0.003729	0.083898	0.002770	0.484076
110.000000	110.004628	1.867494	0.003842	0.084611	0.002897	1.371699
111.000000	111.019722	1.859602	0.003426	0.080266	0.002837	1.657102
112.000000	111.987317	1.857090	0.003400	0.085241	0.002349	0.416028
113.000000	113.002877	1.855413	0.003449	0.083669	0.002590	0.451774
114.000000	114.000590	1.860237	0.003371	0.083916	0.002630	0.419275
115.000000	114.992287	1.858952	0.003247	0.081287	0.002401	0.841025
116.000000	116.005506	1.848338	0.003324	0.080741	0.002335	1.785186
117.000000	116.992193	1.847076	0.003359	0.081997	0.002423	1.428593
118.000000	117.993348	1.847894	0.003314	0.085330	0.002377	1.144764
119.000000	118.994821	1.842250	0.003359	0.084125	0.002512	1.730615
120.000000	120.015835	1.841283	0.003316	0.079044	0.002198	1.540842
121.000000	120.994628	1.849042	0.003373	0.081386	0.002500	1.352552
122.000000	121.998127	1.841990	0.003263	0.078655	0.002098	3.008668
123.000000	123.013574	1.837605	0.003227	0.079537	0.002639	1.690434
124.000000	123.998609	1.837049	0.003504	0.086277	0.002367	1.312855
125.000000	125.011079	1.840068	0.003363	0.085494	0.002573	1.419202
126.000000	126.000988	1.838041	0.003371	0.084989	0.002514	0.711233
127.000000	127.007039	1.840273	0.003284	0.081608	0.002278	2.695069
128.000000	127.989226	1.834463	0.003312	0.086240	0.002635	1.075943
129.000000	129.013676	1.831897	0.003116	0.080654	0.002304	0.409343
