Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.276904	2.430166	0.004179	0.188705	0.002448	6.250280
3.000000	3.106250	2.345107	0.005060	0.184163	0.003153	2.961433
4.000000	3.797271	2.297833	0.004290	0.180297	0.002934	2.769016
5.000000	4.827463	2.261027	0.003659	0.161482	0.002521	4.768155
6.000000	5.960279	2.217078	0.003410	0.149881	0.002168	4.278040
7.000000	7.089806	2.191560	0.003296	0.138224	0.002186	3.826771
8.000000	8.134987	2.166486	0.003351	0.136747	0.002374	3.547022
9.000000	9.052267	2.142035	0.003509	0.125560	0.002313	5.421596
10.000000	9.935557	2.127922	0.003150	0.121871	0.002131	3.335816
11.000000	10.938528	2.105564	0.002992	0.119867	0.002174	4.365692
12.000000	11.979640	2.094067	0.002982	0.113045	0.001905	5.797504
13.000000	13.007136	2.078108	0.002940	0.114544	0.002085	3.295073
14.000000	14.025712	2.061444	0.002813	0.105033	0.001670	6.319768
15.000000	15.014655	2.046407	0.002798	0.105941	0.001851	3.487938
16.000000	16.010439	2.031801	0.002747	0.106331	0.001936	2.275106
17.000000	16.993673	2.023007	0.002831	0.101275	0.001834	5.309979
18.000000	17.986267	2.009089	0.002634	0.098434	0.001791	3.708254
19.000000	18.999621	1.999449	0.002594	0.099826	0.002093	2.894536
20.000000	19.999575	1.986845	0.002691	0.098222	0.001806	5.748608
21.000000	20.992042	1.975662	0.002529	0.089987	0.001738	4.955329
22.000000	21.997761	1.972601	0.002511	0.092468	0.001699	3.848627
23.000000	23.002559	1.960205	0.002401	0.093870	0.001687	1.204172
24.000000	23.994127	1.953705	0.002393	0.092759	0.001620	1.674003
25.000000	24.998999	1.945535	0.002319	0.088197	0.001768	2.753995
26.000000	25.997970	1.940599	0.002329	0.081512	0.001504	4.223460
27.000000	27.005233	1.925800	0.002179	0.083968	0.001482	1.843984
28.000000	27.993137	1.923207	0.002285	0.086532	0.001749	3.693058
29.000000	28.997453	1.914147	0.002211	0.084640	0.001597	2.770311
30.000000	30.001314	1.903660	0.002325	0.084844	0.001669	3.298956
31.000000	31.000015	1.901631	0.002341	0.082116	0.001593	4.538573
32.000000	31.997257	1.889883	0.002108	0.078969	0.001480	1.985107
33.000000	32.994066	1.887171	0.002236	0.082064	0.001686	3.196405
34.000000	33.998026	1.877916	0.002212	0.081813	0.001656	3.965012
35.000000	34.999864	1.877754	0.002076	0.079402	0.001579	2.112260
36.000000	35.999764	1.866486	0.002178	0.078025	0.001590	5.616540
37.000000	37.009824	1.861283	0.002098	0.078242	0.001475	2.132923
38.000000	38.006774	1.856734	0.002065	0.076767	0.001467	2.035132
39.000000	38.997296	1.851513	0.002069	0.076746	0.001476	1.958112
40.000000	40.001542	1.844148	0.002148	0.073105	0.001377	4.185509
41.000000	40.993807	1.839520	0.002088	0.075597	0.001495	3.599815
42.000000	41.992223	1.832638	0.002059	0.074331	0.001316	2.836616
43.000000	42.995402	1.830749	0.002059	0.073374	0.001411	3.712449
44.000000	43.998449	1.824070	0.002069	0.074583	0.001630	3.120820
45.000000	45.004827	1.814932	0.002047	0.075099	0.001455	2.765738
46.000000	46.000169	1.814709	0.002076	0.072266	0.001402	4.182881
47.000000	47.014940	1.812312	0.001968	0.072607	0.001416	3.697851
48.000000	48.012501	1.808460	0.001961	0.069129	0.001452	4.101869
49.000000	48.998733	1.803361	0.001927	0.068587	0.001586	5.112347
50.000000	49.999032	1.790234	0.002037	0.074554	0.001555	2.704935
51.000000	50.999339	1.794128	0.001969	0.070535	0.001540	4.231378
52.000000	52.015035	1.787134	0.001929	0.067625	0.001318	2.665138
53.000000	52.987752	1.781349	0.002010	0.071376	0.001602	2.425082
54.000000	53.997392	1.779602	0.001906	0.067552	0.001304	4.943836
