Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	1.907184	2.858593	0.003819	0.122950	0.002907	0.963282
3.000000	2.906800	2.727291	0.003511	0.113014	0.002485	0.540248
4.000000	3.932485	2.635675	0.003522	0.105344	0.002480	1.132539
5.000000	4.944318	2.576700	0.003518	0.104016	0.002679	1.055392
6.000000	5.940859	2.520548	0.003377	0.100249	0.002803	0.542687
7.000000	6.965093	2.474307	0.003379	0.096166	0.002223	1.054009
8.000000	7.998900	2.445258	0.003538	0.097264	0.002442	1.678623
9.000000	8.985256	2.410313	0.003348	0.098099	0.002454	0.182939
10.000000	9.991420	2.384867	0.003152	0.093678	0.002341	0.337897
11.000000	10.985725	2.354243	0.003115	0.087068	0.002222	0.242994
12.000000	12.009416	2.334563	0.003286	0.090623	0.002452	1.260594
13.000000	13.004913	2.311468	0.003066	0.085439	0.002339	0.919433
14.000000	13.987841	2.289800	0.003073	0.086910	0.002082	0.663148
15.000000	14.994472	2.276304	0.003124	0.089247	0.002213	0.529672
16.000000	15.993896	2.264269	0.003257	0.090292	0.002228	0.714191
17.000000	16.994486	2.243727	0.003348	0.091716	0.002314	0.577620
18.000000	18.014731	2.228977	0.003147	0.087232	0.002121	0.600329
19.000000	18.995404	2.223026	0.003190	0.089454	0.002285	0.400357
20.000000	19.986148	2.205205	0.003450	0.093438	0.002674	0.315133
21.000000	20.996359	2.203930	0.003113	0.086477	0.002200	0.357232
22.000000	22.001475	2.182920	0.003168	0.089223	0.002524	0.964658
23.000000	22.993233	2.177021	0.003008	0.082459	0.002172	0.564252
24.000000	24.012843	2.171812	0.003030	0.084529	0.002300	0.769401
25.000000	25.019432	2.156861	0.003239	0.087237	0.002356	1.469054
26.000000	25.993399	2.154847	0.003224	0.088248	0.002335	0.908206
27.000000	27.009386	2.141532	0.003231	0.087545	0.002327	0.647173
28.000000	27.996291	2.132530	0.003342	0.082784	0.002030	2.944386
29.000000	29.019289	2.127865	0.003048	0.082535	0.002533	1.022714
30.000000	29.994804	2.118594	0.003239	0.086066	0.002170	1.879882
31.000000	31.003093	2.118676	0.002896	0.081164	0.002138	1.182343
32.000000	31.983136	2.104135	0.003123	0.087248	0.001997	1.173479
33.000000	32.997993	2.101535	0.002971	0.083315	0.002233	0.638547
34.000000	34.009095	2.098665	0.003099	0.085179	0.001996	1.751903
35.000000	35.005483	2.090884	0.002846	0.080540	0.001983	1.061495
36.000000	35.997319	2.083710	0.003254	0.088792	0.002378	0.248383
37.000000	36.985499	2.079056	0.003078	0.082985	0.002345	0.610418
38.000000	37.991867	2.078194	0.003201	0.084737	0.002373	0.192978
39.000000	38.999751	2.068327	0.002994	0.081633	0.002373	0.642874
40.000000	39.984049	2.062476	0.003009	0.082851	0.002082	1.192599
41.000000	40.997326	2.057933	0.003262	0.084654	0.002089	1.406340
42.000000	42.003660	2.057482	0.003149	0.083641	0.002485	1.505201
43.000000	42.990729	2.048948	0.003133	0.085063	0.002323	0.383034
44.000000	44.006820	2.049061	0.003176	0.085995	0.002308	0.230339
45.000000	44.997898	2.043486	0.003152	0.083272	0.002548	1.014663
46.000000	45.991067	2.036243	0.003117	0.083444	0.002219	1.261721
47.000000	47.002810	2.031548	0.002976	0.078218	0.001991	1.647865
48.000000	47.999631	2.031684	0.003162	0.086506	0.002501	1.070546
49.000000	48.992073	2.027975	0.002961	0.082070	0.002154	0.774680
50.000000	50.010123	2.022408	0.003045	0.081423	0.002328	0.305011
51.000000	51.016907	2.024318	0.003155	0.084055	0.002348	0.675078
52.000000	51.986857	2.015352	0.002978	0.081216	0.002180	0.509351
53.000000	53.014169	2.015073	0.003148	0.084662	0.002274	0.419792
54.000000	53.974489	2.009681	0.002970	0.082725	0.002246	1.793308
55.000000	54.992924	2.005935	0.002995	0.080797	0.002107	1.225404
56.000000	55.982909	2.006927	0.003217	0.085392	0.002326	1.346949
57.000000	56.981606	2.004741	0.003102	0.080456	0.002436	1.594596
58.000000	57.993271	1.999510	0.003273	0.086100	0.002666	0.951945
59.000000	59.008286	2.000282	0.003146	0.084009	0.002389	1.363232
60.000000	59.987022	1.996533	0.003010	0.084014	0.002117	0.603704
61.000000	60.987501	1.990146	0.003094	0.083312	0.002493	0.330130
62.000000	61.999243	1.989610	0.003245	0.081230	0.002100	3.345554
63.000000	62.999614	1.988627	0.003325	0.084481	0.002711	1.799164
64.000000	64.014197	1.985340	0.002964	0.081198	0.002314	0.631785
65.000000	64.995423	1.982238	0.003043	0.080382	0.002392	1.400817
66.000000	65.981655	1.983215	0.003033	0.082035	0.002225	0.762637
67.000000	67.009335	1.982419	0.003017	0.082720	0.002227	0.633677
68.000000	68.003437	1.971088	0.003162	0.080824	0.002385	2.304908
69.000000	68.990802	1.970507	0.003073	0.080669	0.002545	2.162297
70.000000	70.005112	1.967095	0.003123	0.084335	0.002511	0.557505
71.000000	71.013553	1.964967	0.003041	0.080154	0.002021	0.755065
72.000000	72.004684	1.964264	0.003167	0.083486	0.002498	1.570686
73.000000	72.996635	1.962141	0.003018	0.083966	0.002308	0.954382
74.000000	74.001696	1.962020	0.002890	0.078777	0.002085	1.828839
75.000000	74.998955	1.955941	0.003322	0.088067	0.002578	1.607471
76.000000	75.999196	1.960095	0.002840	0.075083	0.002484	3.293393
77.000000	76.971802	1.956459	0.003044	0.081797	0.002409	0.814510
78.000000	78.019426	1.951117	0.003198	0.081237	0.001983	1.969190
79.000000	78.996858	1.952751	0.003146	0.083103	0.002468	1.357472
80.000000	79.990503	1.948762	0.003108	0.083131	0.002145	0.597950
81.000000	80.987796	1.950301	0.002974	0.081403	0.002105	0.667337
82.000000	82.012731	1.950811	0.003053	0.084222	0.002214	0.372846
83.000000	83.012279	1.944338	0.003133	0.082515	0.002283	1.263247
84.000000	83.996321	1.935292	0.002952	0.081731	0.002356	1.104204
85.000000	85.006513	1.943456	0.003035	0.080220	0.002088	0.818543
86.000000	85.993644	1.934936	0.003123	0.081646	0.002281	0.444289
87.000000	87.007362	1.933035	0.003174	0.083227	0.002267	0.607212
88.000000	87.996254	1.940803	0.003132	0.082565	0.002440	0.712429
89.000000	89.006847	1.937267	0.003144	0.076816	0.002256	2.469688
90.000000	90.007499	1.934094	0.002985	0.080395	0.002196	1.321775
91.000000	91.002504	1.930989	0.003272	0.082139	0.002156	1.753257
92.000000	92.009552	1.933321	0.003120	0.081710	0.002692	1.495043
93.000000	92.995354	1.927812	0.003056	0.082685	0.002278	0.978248
94.000000	93.996851	1.922822	0.003028	0.080139	0.002303	1.111560
95.000000	95.015675	1.922949	0.003317	0.081120	0.002315	1.524384
96.000000	95.987935	1.914296	0.003098	0.077181	0.002061	1.764633
97.000000	96.997503	1.919651	0.003094	0.077648	0.002304	0.736023
98.000000	98.010974	1.915519	0.003277	0.077268	0.002230	0.665008
99.000000	98.986045	1.914002	0.003538	0.075499	0.002426	2.527968
100.000000	99.993900	1.915303	0.003468	0.075238	0.003074	1.809447
101.000000	100.977444	1.905832	0.003935	0.085744	0.002729	2.164005
102.000000	102.008824	1.911876	0.003588	0.077633	0.002668	1.043528
103.000000	102.974793	1.911795	0.004177	0.082496	0.003227	1.106909
104.000000	103.961387	1.893922	0.004371	0.083308	0.003536	1.514545
105.000000	105.008384	1.896073	0.004325	0.080964	0.002941	0.822550
106.000000	106.003072	1.898313	0.004191	0.081705	0.003175	1.489421
107.000000	107.020662	1.896634	0.004413	0.084304	0.003621	0.721181
108.000000	108.011786	1.902577	0.004007	0.077354	0.003227	2.174918
109.000000	109.013285	1.888694	0.003746	0.078377	0.002688	0.986584
110.000000	109.994201	1.894124	0.003687	0.081639	0.002884	0.278415
111.000000	111.003098	1.881168	0.003216	0.078707	0.002254	0.380086
112.000000	111.993037	1.885712	0.003265	0.082135	0.002507	0.487783
113.000000	113.007791	1.888950	0.003130	0.078472	0.002187	2.122989
114.000000	114.009406	1.883197	0.002949	0.079434	0.002441	1.163570
115.000000	114.995523	1.884503	0.002919	0.079185	0.002263	0.980889
116.000000	115.994821	1.881713	0.002944	0.081769	0.002270	0.813116
117.000000	117.015944	1.881743	0.002830	0.077533	0.002107	0.843446
118.000000	118.014008	1.879819	0.002794	0.076451	0.001972	1.570808
119.000000	119.004464	1.881048	0.003175	0.080926	0.002288	1.388135
120.000000	120.002460	1.883019	0.003189	0.083029	0.002446	0.618565
121.000000	120.994872	1.881808	0.003325	0.082103	0.002327	1.138838
122.000000	121.981646	1.882175	0.003356	0.077332	0.002466	1.510168
123.000000	123.015673	1.873752	0.003424	0.083098	0.002338	1.688686
124.000000	123.988267	1.877426	0.003227	0.078538	0.002512	0.911304
125.000000	124.999594	1.871807	0.003396	0.077939	0.002195	2.217678
126.000000	126.014438	1.867778	0.003703	0.081404	0.002694	2.732690
127.000000	126.985309	1.874750	0.003118	0.076535	0.002358	1.989351
128.000000	128.005053	1.874940	0.003377	0.082988	0.002601	1.074247
129.000000	129.004649	1.874773	0.003186	0.080331	0.002365	1.660105
130.000000	129.997786	1.872792	0.003364	0.083177	0.002523	1.539628
131.000000	130.989470	1.867002	0.003096	0.078713	0.002104	0.402347
132.000000	131.989097	1.868394	0.003182	0.079430	0.002543	1.269378
133.000000	133.024381	1.866669	0.003301	0.081654	0.002534	1.056162
134.000000	134.007495	1.867227	0.003207	0.079420	0.002496	2.229206
135.000000	135.000062	1.866246	0.003151	0.081264	0.002667	0.969186
136.000000	136.005754	1.866043	0.003140	0.079702	0.002454	1.243956
137.000000	136.990264	1.866040	0.003377	0.086074	0.002639	1.343543
138.000000	138.009788	1.862906	0.003343	0.084010	0.002616	1.208763
139.000000	138.989259	1.856321	0.003018	0.081193	0.002107	0.614441
140.000000	140.010273	1.861199	0.003184	0.081408	0.002417	1.041675
141.000000	140.978343	1.861133	0.003117	0.075269	0.002200	2.411053
142.000000	142.014027	1.857160	0.003100	0.080923	0.002223	1.369310
143.000000	143.002057	1.852996	0.003166	0.080334	0.002526	1.320679
144.000000	143.997249	1.857683	0.002927	0.073671	0.002450	2.463941
