Bin Center	Bin Actual	Gaus Mean	Mean Error	Gaus Sigma	Sig Error	X^2/DOF
2.000000	2.141722	2.440711	0.004455	0.205456	0.003059	3.369091
3.000000	3.183529	2.339739	0.004166	0.189872	0.003027	3.860509
4.000000	4.140020	2.282183	0.004235	0.162351	0.002576	6.056084
5.000000	5.056287	2.251360	0.004010	0.164773	0.002883	3.155960
6.000000	5.974303	2.220642	0.003829	0.154645	0.002656	3.145434
7.000000	6.937334	2.194749	0.003394	0.147829	0.002610	1.793952
8.000000	7.933040	2.171193	0.003466	0.144400	0.002518	2.696994
9.000000	8.964275	2.145483	0.003275	0.126963	0.002200	5.384861
10.000000	9.994780	2.133784	0.003034	0.122841	0.002077	3.785359
11.000000	11.006753	2.114269	0.002999	0.123035	0.002276	2.532416
12.000000	12.003871	2.096801	0.003005	0.113828	0.002372	5.029203
13.000000	13.003369	2.077073	0.002890	0.114389	0.001876	3.516624
14.000000	14.000688	2.060876	0.002843	0.110059	0.001956	3.408772
15.000000	14.993897	2.053216	0.002690	0.103813	0.002069	3.850645
16.000000	16.007692	2.039822	0.002675	0.103460	0.001965	2.069846
17.000000	17.018120	2.023124	0.002611	0.099138	0.001716	4.616413
18.000000	18.002384	2.010510	0.002701	0.097967	0.001745	3.813413
19.000000	18.991564	2.004964	0.002504	0.099507	0.001919	2.068529
20.000000	19.998093	1.990926	0.002473	0.096163	0.001782	2.328719
21.000000	21.001020	1.983834	0.002529	0.093315	0.001805	4.217193
22.000000	21.999749	1.973351	0.002500	0.091666	0.001594	3.985356
23.000000	23.001569	1.968505	0.002431	0.094351	0.001937	1.866665
24.000000	24.007649	1.958392	0.002501	0.095827	0.001965	2.467243
25.000000	24.994615	1.946425	0.002432	0.090622	0.001643	3.022575
26.000000	26.002199	1.936549	0.002478	0.084579	0.001451	6.310669
27.000000	27.008862	1.927054	0.002492	0.087505	0.001512	5.751030
28.000000	27.996866	1.924404	0.002417	0.087086	0.001533	3.436355
29.000000	28.998171	1.918760	0.002316	0.086196	0.001570	3.145540
30.000000	30.000301	1.910563	0.002382	0.084885	0.001636	4.338743
31.000000	30.987390	1.902939	0.002180	0.082591	0.001507	2.566807
32.000000	31.999442	1.894489	0.002187	0.083660	0.001550	1.150293
33.000000	32.999679	1.890459	0.002178	0.080975	0.001560	2.861564
34.000000	33.994344	1.881824	0.002150	0.080174	0.001361	2.848175
35.000000	34.990888	1.876091	0.002413	0.081762	0.001595	4.495800
36.000000	36.011537	1.871953	0.002236	0.079092	0.001582	3.610190
37.000000	37.003545	1.865079	0.002117	0.077279	0.001531	2.321770
38.000000	37.991371	1.860392	0.002074	0.077196	0.001545	2.526532
39.000000	38.990406	1.848266	0.002096	0.077638	0.001517	3.142931
40.000000	39.993261	1.848646	0.002174	0.075539	0.001388	5.256113
41.000000	40.997327	1.843340	0.002087	0.074862	0.001557	4.303840
42.000000	42.006206	1.835384	0.002006	0.075516	0.001641	1.811470
43.000000	42.995657	1.837296	0.002043	0.072239	0.001344	4.647254
44.000000	44.009643	1.828757	0.002064	0.075713	0.001540	2.349930
45.000000	44.991848	1.823805	0.001939	0.072746	0.001371	1.610349
46.000000	45.993440	1.819930	0.002007	0.072131	0.001407	3.215796
47.000000	47.005755	1.810493	0.002126	0.073979	0.001539	3.637553
48.000000	48.004049	1.811706	0.002033	0.072813	0.001308	3.255306
49.000000	49.009793	1.804397	0.001984	0.066770	0.001181	5.968534
50.000000	50.002821	1.799264	0.001916	0.067351	0.001153	4.267716
51.000000	50.989315	1.797964	0.001967	0.071003	0.001274	3.534787
52.000000	51.991899	1.792294	0.001872	0.069569	0.001294	1.422030
53.000000	52.993227	1.785707	0.001974	0.071233	0.001501	3.349661
54.000000	54.005091	1.783786	0.001846	0.068341	0.001370	1.252967
55.000000	54.989279	1.783207	0.001862	0.069231	0.001248	1.712866
56.000000	55.998477	1.773491	0.001915	0.069687	0.001362	3.532672
57.000000	56.995949	1.770342	0.001944	0.068725	0.001331	3.153485
58.000000	58.014297	1.770025	0.001895	0.069496	0.001383	2.369530
59.000000	59.004815	1.762852	0.002017	0.069358	0.001305	5.920214
60.000000	60.009617	1.764192	0.001908	0.068402	0.001461	2.884441
61.000000	61.008022	1.755331	0.001959	0.064133	0.001098	7.106356
62.000000	62.000541	1.753381	0.001797	0.066536	0.001412	1.977283
63.000000	62.988536	1.749427	0.002014	0.064688	0.001218	6.081679
64.000000	63.993729	1.748373	0.001764	0.065740	0.001283	0.974158
65.000000	65.000521	1.742593	0.001761	0.064878	0.001358	2.643984
66.000000	66.006534	1.736374	0.001808	0.065111	0.001278	3.746822
67.000000	66.990058	1.735538	0.001843	0.067107	0.001435	1.951691
68.000000	67.999604	1.733325	0.001888	0.066963	0.001281	3.640934
69.000000	69.015246	1.727790	0.001955	0.065027	0.001338	5.907269
70.000000	70.008032	1.728453	0.001854	0.064089	0.001252	3.925144
71.000000	71.007619	1.723955	0.001859	0.067411	0.001423	1.447805
72.000000	72.004703	1.721460	0.001803	0.063587	0.001270	2.003273
73.000000	72.992847	1.718497	0.001840	0.063793	0.001320	3.676103
74.000000	73.987465	1.713794	0.001928	0.064716	0.001282	6.397253
75.000000	74.997728	1.708651	0.001978	0.062635	0.001150	8.062718
76.000000	75.992255	1.713854	0.001760	0.061871	0.001282	2.743520
77.000000	77.006959	1.704919	0.001769	0.060899	0.001114	4.102722
78.000000	78.004486	1.703544	0.001752	0.059636	0.001059	5.447598
79.000000	78.982843	1.698806	0.001905	0.064910	0.001447	3.540130
80.000000	80.002397	1.695327	0.001812	0.062168	0.001123	3.244218
81.000000	80.992697	1.691432	0.001734	0.061646	0.001296	2.477047
82.000000	82.006702	1.694488	0.001825	0.064283	0.001175	2.730975
83.000000	82.990752	1.689608	0.001738	0.063880	0.001280	0.552684
84.000000	84.001167	1.687385	0.001794	0.061603	0.001374	4.689793
85.000000	84.996393	1.683702	0.001737	0.062699	0.001174	1.027160
86.000000	86.003864	1.684229	0.001679	0.062622	0.001144	0.666046
87.000000	87.005582	1.676333	0.001785	0.061067	0.001189	2.562010
88.000000	87.994879	1.676387	0.001644	0.059558	0.001153	1.727400
89.000000	89.000956	1.676209	0.001651	0.060552	0.001135	1.995743
90.000000	90.012049	1.669684	0.001757	0.060403	0.001239	3.206283
91.000000	90.990286	1.669944	0.001732	0.060411	0.001251	3.389212
92.000000	91.996770	1.665094	0.001673	0.060667	0.001154	0.958027
93.000000	93.001706	1.663719	0.001725	0.060937	0.001253	3.019978
94.000000	93.996187	1.662440	0.001704	0.060082	0.001298	1.964867
95.000000	95.004270	1.658855	0.001644	0.060892	0.001257	2.635244
96.000000	96.011577	1.655948	0.001644	0.059989	0.001224	1.183098
97.000000	97.003413	1.653530	0.001692	0.057507	0.001100	3.169152
98.000000	98.009233	1.649556	0.001709	0.062751	0.001237	0.730349
99.000000	99.003963	1.650077	0.001695	0.059245	0.001306	1.948535
100.000000	100.004931	1.646300	0.001826	0.058987	0.001087	5.654928
101.000000	100.999395	1.641988	0.001662	0.057472	0.001094	4.405327
102.000000	101.986339	1.642899	0.001710	0.057946	0.001270	3.292064
103.000000	103.017253	1.641288	0.001760	0.060677	0.001439	3.360213
104.000000	103.986384	1.638904	0.001742	0.062525	0.001201	1.435207
105.000000	104.996223	1.633930	0.001797	0.060116	0.001183	2.060121
106.000000	106.009606	1.635456	0.001676	0.058018	0.001157	0.684400
107.000000	107.006160	1.631873	0.001700	0.057976	0.001306	1.574563
108.000000	107.991897	1.627106	0.001734	0.059018	0.001317	1.738502
109.000000	109.000209	1.628864	0.001843	0.059550	0.001349	1.090357
110.000000	109.997594	1.626721	0.001800	0.059278	0.001300	1.283660
111.000000	111.001893	1.620279	0.001789	0.059411	0.001342	0.741900
112.000000	112.013061	1.616877	0.001827	0.058388	0.001251	1.783360
113.000000	112.991725	1.617256	0.002127	0.057644	0.001365	6.470946
114.000000	113.992918	1.614240	0.001965	0.058665	0.001454	3.628601
115.000000	115.012640	1.607401	0.002132	0.058342	0.001448	4.476027
116.000000	115.992881	1.611077	0.001998	0.058275	0.001339	2.356296
117.000000	116.998222	1.605708	0.002011	0.054706	0.001413	3.405482
118.000000	118.021361	1.606469	0.002072	0.060705	0.001512	0.217471
119.000000	119.002648	1.605648	0.002036	0.058062	0.001295	1.745138
120.000000	120.002372	1.602851	0.002047	0.057679	0.001465	2.002151
121.000000	120.981341	1.598764	0.002035	0.059387	0.001470	2.130133
122.000000	121.999402	1.596003	0.001905	0.056302	0.001359	1.064621
123.000000	122.996674	1.596165	0.001927	0.055585	0.001462	3.246057
124.000000	123.992120	1.591465	0.001833	0.055260	0.001513	3.939827
125.000000	125.006391	1.590846	0.001776	0.055766	0.001382	1.440873
126.000000	126.006254	1.588773	0.001789	0.056238	0.001190	1.851876
127.000000	127.001763	1.588121	0.001823	0.057337	0.001385	2.291411
128.000000	128.008507	1.584157	0.001740	0.056237	0.001155	2.062906
129.000000	128.998681	1.584631	0.001818	0.059417	0.001495	2.319668
130.000000	130.012724	1.581544	0.001778	0.057035	0.001362	1.247324
131.000000	130.999860	1.575064	0.001776	0.057922	0.001278	1.925389
132.000000	132.004711	1.574612	0.001758	0.059929	0.001302	0.187781
