0.900106 0.148935 -0.0026418 -7.04294e-05 1.02848e-06 9.04584e-08 1.66052e-09 -9.03482e-11 | 1.74648 0.0533649 3.70455e-06 -1.19593e-07 -7.59991e-11 1.07255e-12 
0.694874 0.246676 -0.0160037 0.000383685 1.16843e-05 -3.02132e-07 -1.73251e-08 4.45574e-10 | 1.66729 0.0540265 -2.97146e-05 -7.90142e-08 3.12296e-10 -7.93298e-14 
0.745885 0.235072 -0.0147943 0.000331485 1.0885e-05 -2.38484e-07 -1.53213e-08 3.61248e-10 | 1.61749 0.0545425 -6.82104e-05 -1.91143e-08 9.61856e-10 -1.9921e-12 
0.726423 0.237729 -0.0149817 0.000345728 1.03975e-05 -2.62791e-07 -1.52759e-08 3.91492e-10 | 1.48287 0.0591187 -0.000143703 8.70404e-08 1.89556e-09 -4.35738e-12 
0.883649 0.156637 -0.00388444 -8.09081e-05 2.22856e-06 1.44455e-07 2.14522e-09 -1.72093e-10 | 1.69974 0.048422 -5.41722e-05 -4.56724e-08 5.49006e-10 -6.98644e-13 
0.880015 0.156123 -0.00388232 -8.06981e-05 2.16715e-06 1.41059e-07 2.11321e-09 -1.65506e-10 | 1.74852 0.0452385 -3.77051e-05 -5.176e-08 3.75024e-10 -5.02304e-13 
0.62903 0.283382 -0.0204077 0.000487646 1.6108e-05 -3.99938e-07 -2.51762e-08 6.48346e-10 | 1.60175 0.0505111 -9.29634e-05 -3.57737e-09 1.04535e-09 -1.89886e-12 
0.873732 0.15707 -0.00388357 -8.46276e-05 2.06668e-06 1.4233e-07 2.25483e-09 -1.64717e-10 | 1.757 0.0456718 -7.39877e-05 3.64851e-08 8.24946e-10 -1.96656e-12 
0.878803 0.154899 -0.00374245 -8.30896e-05 1.91475e-06 1.3594e-07 2.21426e-09 -1.55914e-10 | 1.70164 0.0460489 -7.09414e-05 -1.94759e-08 7.7789e-10 -1.38552e-12 
0.690199 0.252159 -0.0171082 0.00041203 1.25012e-05 -3.41361e-07 -1.95533e-08 5.25979e-10 | 1.68326 0.0459649 -7.95605e-05 1.17468e-08 8.62361e-10 -1.73722e-12 
0.702412 0.245603 -0.0157703 0.000334658 1.2137e-05 -2.62646e-07 -1.78568e-08 4.4102e-10 | 1.61738 0.0475894 -9.23099e-05 1.45306e-08 1.01349e-09 -2.04736e-12 
0.729042 0.232238 -0.0143908 0.000297006 1.07654e-05 -2.18427e-07 -1.52583e-08 3.61813e-10 | 1.76409 0.0404111 -2.61592e-05 -9.0245e-08 2.1932e-10 9.08622e-14 
0.763028 0.223615 -0.0138785 0.000301895 9.40156e-06 -2.17543e-07 -1.28871e-08 3.15542e-10 | 1.67028 0.0456863 -9.06701e-05 2.66208e-08 1.05169e-09 -2.33019e-12 
0.723388 0.23229 -0.0145825 0.000312277 1.06868e-05 -2.34397e-07 -1.51487e-08 3.66718e-10 | 1.63806 0.0464185 -9.89561e-05 3.69005e-08 1.13573e-09 -2.49422e-12 
0.908111 0.144414 -0.0033078 -7.56135e-05 1.60322e-06 1.15889e-07 1.87464e-09 -1.28965e-10 | 1.76135 0.0408842 -5.00159e-05 -3.05522e-08 4.43127e-10 -6.42851e-13 
0.746504 0.22916 -0.0150175 0.000347504 1.12494e-05 -2.77653e-07 -1.71226e-08 4.39435e-10 | 1.75368 0.04135 -5.71931e-05 -2.56237e-08 5.47053e-10 -8.63194e-13 
0.701547 0.24403 -0.0165913 0.000407256 1.22861e-05 -3.41556e-07 -1.972e-08 5.31181e-10 | 1.70719 0.0426123 -7.11257e-05 -2.09793e-08 7.41307e-10 -1.18726e-12 
0.752138 0.229597 -0.0151002 0.00034532 1.141e-05 -2.81348e-07 -1.75524e-08 4.59093e-10 | 1.74494 0.0410543 -5.44592e-05 -5.03528e-08 4.29468e-10 -2.53593e-13 
0.899248 0.147271 -0.00360302 -7.6353e-05 1.91448e-06 1.28833e-07 1.9851e-09 -1.51719e-10 | 1.72914 0.0408193 -5.44153e-05 -4.22451e-08 4.83103e-10 -5.79753e-13 
0.897469 0.146567 -0.00354232 -7.64346e-05 1.83028e-06 1.24057e-07 1.91891e-09 -1.40068e-10 | 1.70945 0.0419387 -7.01066e-05 -2.08863e-08 7.64212e-10 -1.27703e-12 
0.703648 0.247548 -0.0164662 0.00035391 1.249e-05 -2.65804e-07 -1.79316e-08 4.34457e-10 | 1.71666 0.0421161 -8.15803e-05 2.18803e-08 1.03553e-09 -2.34467e-12 
0.754714 0.224318 -0.0144396 0.000324665 1.0531e-05 -2.48404e-07 -1.51884e-08 3.77593e-10 | 1.8085 0.0381414 -4.19639e-05 -2.49922e-08 3.57993e-10 -5.96351e-13 
0.722384 0.240044 -0.0160416 0.000367444 1.24881e-05 -3.1137e-07 -1.94515e-08 5.14496e-10 | 1.55063 0.0495491 -0.000158846 1.46475e-07 2.14058e-09 -5.45707e-12 
0.722384 0.240044 -0.0160416 0.000367444 1.24881e-05 -3.1137e-07 -1.94515e-08 5.14496e-10 | 1.55063 0.0495491 -0.000158846 1.46475e-07 2.14058e-09 -5.45707e-12 
